v,v_eff,m,t
"[[4.31234746e-07]
 [2.94598545e-07]
 [9.81154503e-09]
 [1.29095805e-07]
 [6.88159874e-08]
 [2.85116237e-08]
 [8.12287378e-07]
 [2.20623212e-07]
 [1.72061428e-06]
 [4.30205612e-07]
 [1.55836362e-07]
 [9.39080466e-07]
 [1.76306193e-10]
 [4.34857574e-07]
 [1.15337081e-06]
 [8.94392802e-08]
 [3.52009525e-07]
 [9.09032176e-07]]","[[4.31234746e-07]
 [2.94598545e-07]
 [9.81154503e-09]
 [1.29095805e-07]
 [6.88159874e-08]
 [2.85116237e-08]
 [8.12287378e-07]
 [2.20623212e-07]
 [1.72061428e-06]
 [4.30205612e-07]
 [1.55836362e-07]
 [9.39080466e-07]
 [1.76306193e-10]
 [4.34857574e-07]
 [1.15337081e-06]
 [8.94392802e-08]
 [3.52009525e-07]
 [9.09032176e-07]]","[[ 1.97005399e-03]
 [ 1.62830799e-03]
 [ 2.97159730e-04]
 [-1.07789714e-03]
 [-7.86984045e-04]
 [ 5.06561559e-04]
 [ 2.70380961e-03]
 [-1.40911636e-03]
 [ 3.93516563e-03]
 [-1.96770183e-03]
 [ 1.18428344e-03]
 [-2.90718493e-03]
 [ 3.98341027e-05]
 [ 1.97831195e-03]
 [ 3.22185308e-03]
 [-8.97192021e-04]
 [ 1.77991172e-03]
 [ 2.86029537e-03]]",1
"[[1.82366326e-06]
 [1.26545395e-06]
 [3.93263284e-08]
 [5.62541810e-07]
 [2.88077597e-07]
 [1.27834461e-07]
 [3.46065381e-06]
 [9.33770677e-07]
 [7.35097103e-06]
 [1.84491807e-06]
 [6.63578240e-07]
 [4.02543808e-06]
 [4.12658841e-10]
 [1.87828489e-06]
 [4.92374276e-06]
 [3.86786108e-07]
 [1.52123895e-06]
 [3.88551500e-06]]","[[1.82366326e-06]
 [1.26545395e-06]
 [3.93263284e-08]
 [5.62541810e-07]
 [2.88077597e-07]
 [1.27834461e-07]
 [3.46065381e-06]
 [9.33770677e-07]
 [7.35097103e-06]
 [1.84491807e-06]
 [6.63578240e-07]
 [4.02543808e-06]
 [4.12658841e-10]
 [1.87828489e-06]
 [4.92374276e-06]
 [3.86786108e-07]
 [1.52123895e-06]
 [3.88551500e-06]]","[[ 4.05129230e-03]
 [ 3.37477193e-03]
 [ 5.94926008e-04]
 [-2.25008362e-03]
 [-1.61018582e-03]
 [ 1.07261836e-03]
 [ 5.58084978e-03]
 [-2.89895431e-03]
 [ 8.13380227e-03]
 [-4.07483284e-03]
 [ 2.44380935e-03]
 [-6.01904833e-03]
 [ 6.09420181e-05]
 [ 4.11151603e-03]
 [ 6.65685247e-03]
 [-1.86576391e-03]
 [ 3.70015548e-03]
 [ 5.91351291e-03]]",1
"[[4.34553533e-06]
 [3.05625866e-06]
 [8.90449945e-08]
 [1.37755525e-06]
 [6.80732098e-07]
 [3.20993881e-07]
 [8.30740080e-06]
 [2.23032614e-06]
 [1.76830234e-05]
 [4.45339093e-06]
 [1.59373355e-06]
 [9.71345743e-06]
 [4.84035253e-10]
 [4.55779849e-06]
 [1.18305380e-05]
 [9.39985817e-07]
 [3.69381695e-06]
 [9.34570215e-06]]","[[4.34553533e-06]
 [3.05625866e-06]
 [8.90449945e-08]
 [1.37755525e-06]
 [6.80732098e-07]
 [3.20993881e-07]
 [8.30740080e-06]
 [2.23032614e-06]
 [1.76830234e-05]
 [4.45339093e-06]
 [1.59373355e-06]
 [9.71345743e-06]
 [4.84035253e-10]
 [4.55779849e-06]
 [1.18305380e-05]
 [9.39985817e-07]
 [3.69381695e-06]
 [9.34570215e-06]]","[[ 6.25378429e-03]
 [ 5.24464755e-03]
 [ 8.95212238e-04]
 [-3.52107900e-03]
 [-2.47519472e-03]
 [ 1.69968966e-03]
 [ 8.64676860e-03]
 [-4.48028294e-03]
 [ 1.26153562e-02]
 [-6.33091766e-03]
 [ 3.78729481e-03]
 [-9.34992603e-03]
 [ 6.60024035e-05]
 [ 6.40470034e-03]
 [ 1.03186647e-02]
 [-2.90858597e-03]
 [ 5.76579158e-03]
 [ 9.17122235e-03]]",1
"[3.96611957e-05 3.31742300e-05 5.74486782e-06 ... 3.01332808e-03
 4.80094085e-04 7.62628375e-05]","[3.96611957e-05 3.31742300e-05 5.74486782e-06 ... 3.01332808e-03
 4.80094085e-04 7.62628375e-05]","[ 0.01889314 -0.01727912  0.00719054 ...  0.16468137 -0.06573315
 -0.02619858]",1
"[[8.16687297e-06]
 [5.80915082e-06]
 [1.59421467e-07]
 [2.65359102e-06]
 [1.27090686e-06]
 [6.32093987e-07]
 [1.57274740e-05]
 [4.20764771e-06]
 [3.35237642e-05]
 [8.46919188e-06]
 [3.02148404e-06]
 [1.84674292e-05]
 [3.71562152e-10]
 [8.69777603e-06]
 [2.23939838e-05]
 [1.79698802e-06]
 [7.05424464e-06]
 [1.77058211e-05]]","[[8.16687297e-06]
 [5.80915082e-06]
 [1.59421467e-07]
 [2.65359102e-06]
 [1.27090686e-06]
 [6.32093987e-07]
 [1.57274740e-05]
 [4.20764771e-06]
 [3.35237642e-05]
 [8.46919188e-06]
 [3.02148404e-06]
 [1.84674292e-05]
 [3.71562152e-10]
 [8.69777603e-06]
 [2.23939838e-05]
 [1.79698802e-06]
 [7.05424464e-06]
 [1.77058211e-05]]","[[ 8.57332239e-03]
 [ 7.23065401e-03]
 [ 1.19782854e-03]
 [-4.88695397e-03]
 [-3.38203515e-03]
 [ 2.38513016e-03]
 [ 1.18973638e-02]
 [-6.15376546e-03]
 [ 1.73699130e-02]
 [-8.73056281e-03]
 [ 5.21472495e-03]
 [-1.28921241e-02]
 [ 5.78278425e-05]
 [ 8.84759765e-03]
 [ 1.41966846e-02]
 [-4.02155346e-03]
 [ 7.96794840e-03]
 [ 1.26234857e-02]]",1
"[[1.34599529e-05]
 [9.66258211e-06]
 [2.50937481e-07]
 [4.47117616e-06]
 [2.08425361e-06]
 [1.08575460e-06]
 [2.61089344e-05]
 [6.97061543e-06]
 [5.56918703e-05]
 [1.41086622e-05]
 [5.02704435e-06]
 [3.07583721e-05]
 [1.74641101e-10]
 [1.45153850e-05]
 [3.71310363e-05]
 [3.00494881e-06]
 [1.17819906e-05]
 [2.93784785e-05]]","[[1.34599529e-05]
 [9.66258211e-06]
 [2.50937481e-07]
 [4.47117616e-06]
 [2.08425361e-06]
 [1.08575460e-06]
 [2.61089344e-05]
 [6.97061543e-06]
 [5.56918703e-05]
 [1.41086622e-05]
 [5.02704435e-06]
 [3.07583721e-05]
 [1.74641101e-10]
 [1.45153850e-05]
 [3.71310363e-05]
 [3.00494881e-06]
 [1.17819906e-05]
 [2.93784785e-05]]","[[ 1.10063425e-02]
 [ 9.32540825e-03]
 [ 1.50280981e-03]
 [-6.34354675e-03]
 [-4.33108329e-03]
 [ 3.12598647e-03]
 [ 1.53290707e-02]
 [-7.92057693e-03]
 [ 2.23880958e-02]
 [-1.12684497e-02]
 [ 6.72632137e-03]
 [-1.66380693e-02]
 [ 3.96455535e-05]
 [ 1.14297185e-02]
 [ 1.82805724e-02]
 [-5.20043645e-03]
 [ 1.02974713e-02]
 [ 1.62605752e-02]]",1
"[[2.03856520e-05]
 [1.47388782e-05]
 [3.63914507e-07]
 [6.90586371e-06]
 [3.14620132e-06]
 [1.70533772e-06]
 [3.98252103e-05]
 [1.06252873e-05]
 [8.49543196e-05]
 [2.15743344e-05]
 [7.69066129e-06]
 [4.70277436e-05]
 [2.49889031e-11]
 [2.22009893e-05]
 [5.65110943e-05]
 [4.60623208e-06]
 [1.80353878e-05]
 [4.47377318e-05]]","[[2.03856520e-05]
 [1.47388782e-05]
 [3.63914507e-07]
 [6.90586371e-06]
 [3.14620132e-06]
 [1.70533772e-06]
 [3.98252103e-05]
 [1.06252873e-05]
 [8.49543196e-05]
 [2.15743344e-05]
 [7.69066129e-06]
 [4.70277436e-05]
 [2.49889031e-11]
 [2.22009893e-05]
 [5.65110943e-05]
 [4.60623208e-06]
 [1.80353878e-05]
 [4.47377318e-05]]","[[ 1.35451419e-02]
 [ 1.15173740e-02]
 [ 1.80975981e-03]
 [-7.88370302e-03]
 [-5.32126037e-03]
 [ 3.91765740e-03]
 [ 1.89321656e-02]
 [-9.77893579e-03]
 [ 2.76512003e-02]
 [-1.39344541e-02]
 [ 8.31961247e-03]
 [-2.05730331e-02]
 [ 1.49966706e-05]
 [ 1.41353777e-02]
 [ 2.25521584e-02]
 [-6.43864029e-03]
 [ 1.27404274e-02]
 [ 2.00658812e-02]]",1
"[1.33102092e-05 1.20499854e-05 2.17999771e-06 ... 1.17453836e-03
 1.56793152e-04 2.28019231e-05]","[1.33102092e-05 1.20499854e-05 2.17999771e-06 ... 1.17453836e-03
 1.56793152e-04 2.28019231e-05]","[ 0.01094495 -0.01041393  0.00442944 ...  0.10281462 -0.03756512
 -0.01432541]",1
"[[2.90760608e-05]
 [2.11289758e-05]
 [4.98050237e-07]
 [1.00206600e-05]
 [4.47998779e-06]
 [2.51111847e-06]
 [5.71951393e-05]
 [1.52692496e-05]
 [1.21940809e-04]
 [3.10335442e-05]
 [1.10851278e-05]
 [6.76386148e-05]
 [1.89488619e-11]
 [3.18953528e-05]
 [8.08960000e-05]
 [6.63390649e-06]
 [2.59317294e-05]
 [6.40764078e-05]]","[[2.90760608e-05]
 [2.11289758e-05]
 [4.98050237e-07]
 [1.00206600e-05]
 [4.47998779e-06]
 [2.51111847e-06]
 [5.71951393e-05]
 [1.52692496e-05]
 [1.21940809e-04]
 [3.10335442e-05]
 [1.10851278e-05]
 [6.76386148e-05]
 [1.89488619e-11]
 [3.18953528e-05]
 [8.08960000e-05]
 [6.63390649e-06]
 [2.59317294e-05]
 [6.40764078e-05]]","[[ 1.61766667e-02]
 [ 1.37898797e-02]
 [ 2.11718023e-03]
 [-9.49662782e-03]
 [-6.34979449e-03]
 [ 4.75395270e-03]
 [ 2.26882404e-02]
 [-1.17227662e-02]
 [ 3.31280437e-02]
 [-1.67123277e-02]
 [ 9.98830065e-03]
 [-2.46728096e-02]
 [-1.30590871e-05]
 [ 1.69427912e-02]
 [ 2.69826611e-02]
 [-7.72691131e-03]
 [ 1.52769619e-02]
 [ 2.40143222e-02]]",1
"[[3.96511004e-05]
 [2.89030260e-05]
 [6.43233597e-07]
 [1.38787440e-05]
 [6.11885554e-06]
 [3.53895269e-06]
 [7.83913992e-05]
 [2.09639245e-05]
 [1.67064955e-04]
 [4.26250901e-05]
 [1.52551192e-05]
 [9.28256944e-05]
 [4.63335356e-10]
 [4.37522667e-05]
 [1.10431406e-04]
 [9.13166206e-06]
 [3.55567833e-05]
 [8.76796988e-05]]","[[3.96511004e-05]
 [2.89030260e-05]
 [6.43233597e-07]
 [1.38787440e-05]
 [6.11885554e-06]
 [3.53895269e-06]
 [7.83913992e-05]
 [2.09639245e-05]
 [1.67064955e-04]
 [4.26250901e-05]
 [1.52551192e-05]
 [9.28256944e-05]
 [4.63335356e-10]
 [4.37522667e-05]
 [1.10431406e-04]
 [9.13166206e-06]
 [3.55567833e-05]
 [8.76796988e-05]]","[[ 1.88907359e-02]
 [ 1.61284604e-02]
 [ 2.40605535e-03]
 [-1.11762559e-02]
 [-7.42089616e-03]
 [ 5.64363130e-03]
 [ 2.65616753e-02]
 [-1.37359135e-02]
 [ 3.87760827e-02]
 [-1.95863680e-02]
 [ 1.17173407e-02]
 [-2.89038276e-02]
 [-6.45756781e-05]
 [ 1.98436489e-02]
 [ 3.15259044e-02]
 [-9.06559201e-03]
 [ 1.78888527e-02]
 [ 2.80912315e-02]]",1
