epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
0,0.6603,0.8409,"[ 2.61722927e+00  4.52293557e+00 -2.26300984e-03  1.90260662e+00
  9.25087589e-01  5.77190940e-01  1.16730942e+00  2.17421826e+00
  2.48996493e+00  3.38848265e+00  2.63088136e+00  4.30835925e+00
  1.28177180e+00  5.51437729e+00  1.69082995e-01  4.21566564e+00
  2.61900642e+00  3.50735360e+00]",18.4273
1,0.6413,1.0044,"[ 2.61423012e+00  4.51993657e+00 -5.25686434e-03  1.90560515e+00
  9.28085447e-01  5.74193921e-01  1.16431002e+00  2.17721708e+00
  2.48696535e+00  3.39148183e+00  2.62788274e+00  4.31135869e+00
  1.27905817e+00  5.51137810e+00  1.66083503e-01  4.21866385e+00
  2.61600732e+00  3.50435417e+00]",18.3727
2,0.6327,1.1776,"[ 2.6112306   4.51693713 -0.00825309  1.90860434  0.93108422  0.57119554
  1.16131037  2.18021642  2.48396558  3.39448136  2.62488352  4.31435837
  1.28180231  5.50837856  0.16308379  4.22166285  2.61300783  3.5013545 ]",18.3272
3,0.6371,1.2376,"[ 2.60823098  4.51393758 -0.01125     1.91160371  0.93408327  0.56819677
  1.15831063  2.18321591  2.48096577  3.397481    2.62188411  4.31735813
  1.28465371  5.50537892  0.16008402  4.22466206  2.61000823  3.49835475]",18.2821
4,0.6289,1.2866,"[ 2.60523134  4.51093801 -0.01424705  1.9146031   0.9370824   0.56519796
  1.15531089  2.18621544  2.47796594  3.40048066  2.61888467  4.32035789
  1.28173666  5.50237927  0.15708424  4.2276613   2.60700862  3.495355  ]",18.2278
5,0.6295,1.2287,"[ 2.6022317   4.50793846 -0.01724416  1.91760248  0.94008152  0.5621992
  1.15231114  2.18921496  2.47496612  3.40348031  2.61588522  4.32335765
  1.27875881  5.49937964  0.15408447  4.23066051  2.60400903  3.49235525]",18.1736
6,0.6358,1.1925,"[ 2.59923207  4.50493891 -0.02024135  1.92060186  0.94308067  0.55920045
  1.1493114   2.19221451  2.4719663   3.40647996  2.61288576  4.32635742
  1.27577145  5.49638002  0.1510847   4.2336597   2.60100944  3.48935551]",18.1197
7,0.638,1.2342,"[ 2.59623243  4.50193937 -0.02323862  1.92360123  0.94607985  0.55620171
  1.14631165  2.19521406  2.46896648  3.40947961  2.60988629  4.32935718
  1.2727804   5.49338041  0.14808493  4.23665889  2.59800986  3.48635577]",18.066
8,0.6411,1.1955,"[ 2.5932328   4.49893984 -0.02623592  1.92660059  0.94907903  0.55320302
  1.1433119   2.19821362  2.46596666  3.41247926  2.60688681  4.33235694
  1.26978742  5.49038081  0.14508516  4.23965805  2.59501029  3.48335603]",18.0128
9,0.6415,1.1517,"[ 2.59023317  4.49594032 -0.02923327  1.92959995  0.95207822  0.55020436
  1.14031215  2.20121319  2.46296684  3.4154789   2.60388732  4.3353567
  1.26679319  5.48738122  0.1420854   4.24265719  2.59201074  3.4803563 ]",17.9599
10,0.6404,1.1978,"[ 2.58723352  4.49294078 -0.03223079  1.93259934  0.95507746  0.54720565
  1.13731239  2.20421279  2.45996702  3.41847857  2.60088779  4.33835647
  1.26379796  5.48438162  0.13908563  4.24565637  2.58901116  3.47735656]",17.9074
11,0.647,1.1449,"[ 2.58423387  4.48994126 -0.0352283   1.93559871  0.9580767   0.54420698
  1.13431263  2.20721239  2.45696719  3.42147823  2.59788827  4.34135624
  1.26080216  5.48138203  0.13608587  4.24865552  2.58601161  3.47435682]",17.8554
12,0.6487,1.1101,"[ 2.58123423  4.48694175 -0.03822585  1.93859807  0.96107595  0.54120836
  1.13131287  2.210212    2.45396737  3.42447789  2.59488875  4.34435601
  1.2578059   5.47838246  0.13308611  4.25165464  2.58301206  3.47135709]",17.8038
13,0.6442,1.1589,"[ 2.57823459  4.48394224 -0.04122342  1.94159742  0.96407521  0.53820977
  1.12831311  2.21321161  2.45096755  3.42747755  2.59188921  4.34735577
  1.25480926  5.4753829   0.13008635  4.25465375  2.58001252  3.46835736]",17.7528
14,0.65,1.1163,"[ 2.57523494  4.48094275 -0.04422102  1.94459677  0.96707448  0.53521122
  1.12531335  2.21621122  2.44796773  3.43047721  2.58888967  4.35035554
  1.25181233  5.47238336  0.1270866   4.25765284  2.577013    3.46535764]",17.7022
15,0.6501,1.0899,"[ 2.5722353   4.47794326 -0.04721863  1.94759611  0.97007375  0.53221271
  1.12231359  2.21921084  2.44496791  3.43347686  2.58589013  4.3533553
  1.24881516  5.46938382  0.12408685  4.2606519   2.57401348  3.46235792]",17.6523
16,0.6495,1.136,"[ 2.56923565  4.47494377 -0.0502163   1.95059545  0.97307303  0.52921422
  1.11931382  2.22221047  2.44196808  3.43647652  2.58289058  4.35635507
  1.24581775  5.46638429  0.1210871   4.26365097  2.57101397  3.4593582 ]",17.603
17,0.6516,1.0783,"[ 2.566236    4.47194429 -0.05321401  1.95359478  0.97607233  0.52621575
  1.11631405  2.22521011  2.43896826  3.43947619  2.57989102  4.35935484
  1.24282014  5.46338477  0.11808736  4.26665003  2.56801446  3.45635849]",17.5542
18,0.6501,1.122,"[ 2.56323635  4.46894481 -0.05621171  1.95659411  0.97907163  0.52321733
  1.11331428  2.22820975  2.43596844  3.44247585  2.57689146  4.36235461
  1.23982239  5.46038526  0.11508761  4.26964907  2.56501496  3.45335877]",17.5061
19,0.6529,1.0754,"[ 2.56023671  4.46594536 -0.0592094   1.95959341  0.98207092  0.520219
  1.11031451  2.23120939  2.43296862  3.4454755   2.5738919   4.36535437
  1.23682454  5.45738577  0.11208788  4.27264806  2.56201548  3.45035907]",17.4587
20,0.657,1.0389,"[ 2.55723707  4.46294592 -0.06220706  1.96259269  0.9850702   0.51722077
  1.10731475  2.23420902  2.4299688   3.44847515  2.57089235  4.36835412
  1.23382661  5.45438631  0.10908816  4.27564701  2.55901603  3.44735938]",17.412
21,0.657,1.0688,"[ 2.55423742  4.45994647 -0.06520481  1.96559199  0.98806951  0.5142225
  1.10431497  2.23720868  2.42696898  3.45147481  2.56789277  4.37135389
  1.2308285   5.45138684  0.10608842  4.278646    2.55601655  3.44435968]",17.366
22,0.656,1.0459,"[ 2.55123779  4.45694707 -0.06820245  1.96859123  0.99106878  0.51122444
  1.10131521  2.24020831  2.42396917  3.45447444  2.56489323  4.37435364
  1.22783041  5.44838742  0.10308872  4.28164488  2.55301713  3.44136   ]",17.3207
23,0.6524,1.0805,"[ 2.54823815  4.45394765 -0.07120016  1.97159049  0.99406808  0.50822637
  1.09831544  2.24320796  2.42096936  3.45747409  2.56189366  4.3773534
  1.22483216  5.44538799  0.100089    4.28464379  2.5500177   3.43836032]",17.2761
24,0.6575,1.0348,"[ 2.54523851  4.45094826 -0.07419783  1.97458971  0.99706736  0.50522843
  1.09531568  2.24620761  2.41796954  3.46047373  2.5588941   4.38035315
  1.22183388  5.4423886   0.0970893   4.28764264  2.54701829  3.43536065]",17.2324
25,0.6563,1.0599,"[ 2.54223888  4.44794887 -0.0771955   1.97758892  1.00006664  0.5022306
  1.09231591  2.24920726  2.41496973  3.46347337  2.55589454  4.3833529
  1.21883553  5.43938922  0.0940896   4.29064147  2.5440189   3.43236098]",17.1894
26,0.6587,1.0403,"[ 2.53923926  4.44494953 -0.08019309  1.98058807  1.00306589  0.49923299
  1.08931616  2.25220689  2.41196993  3.46647299  2.552895    4.38635263
  1.21583719  5.43638989  0.09108992  4.29364021  2.54101955  3.42936134]",17.1472
27,0.663,1.0045,"[ 2.53623964  4.4419502  -0.08319069  1.98358721  1.00606514  0.49623547
  1.0863164   2.25520653  2.40897013  3.46947261  2.54989546  4.38935237
  1.21283876  5.43339057  0.08809025  4.29663894  2.53802021  3.4263617 ]",17.1059
28,0.663,1.0198,"[ 2.53323999  4.43895082 -0.08618843  1.9865864   1.00906444  0.49323785
  1.08331663  2.25820619  2.40597032  3.47247225  2.54689588  4.39235212
  1.20984019  5.43039122  0.08509056  4.29963774  2.53502082  3.42336204]",17.0653
29,0.6601,1.0392,"[ 2.53024034  4.43595146 -0.08918615  1.98958557  1.01206373  0.49024041
  1.08031685  2.26120586  2.4029705   3.47547189  2.54389631  4.39535187
  1.20684158  5.42739189  0.08209087  4.30263649  2.53202146  3.42036239]",17.0256
30,0.6646,1.0174,"[ 2.52724072  4.43295217 -0.09218373  1.99258465  1.01506298  0.48724336
  1.07731709  2.2642055   2.39997071  3.47847151  2.54089677  4.39835161
  1.20384301  5.42439264  0.07909122  4.30563512  2.52902216  3.41736277]",16.9868
31,0.6668,0.9774,"[ 2.52424111  4.42995289 -0.09518129  1.9955837   1.01806221  0.48424656
  1.07431734  2.26720514  2.39697091  3.48147111  2.53789723  4.40135133
  1.2008444   5.42139341  0.07609158  4.30863371  2.52602289  3.41436316]",16.9488
32,0.6666,1.0063,"[ 2.52124147  4.4269536  -0.09817892  1.99858276  1.02106146  0.48124983
  1.07131757  2.27020479  2.39397111  3.48447073  2.53489767  4.40435107
  1.19784571  5.41839418  0.07309193  4.31163231  2.5230236   3.41136354]",16.9117
33,0.6689,0.9614,"[ 2.51824186  4.42395436 -0.10117642  2.00158173  1.02406067  0.47825367
  1.06831782  2.27320443  2.39097132  3.48747033  2.53189815  4.40735078
  1.19484706  5.41539502  0.07009231  4.31463078  2.52002438  3.40836396]",16.8754
34,0.6683,0.9908,"[ 2.51524224  4.42095512 -0.10417397  2.00458071  1.02705989  0.47525768
  1.06531806  2.27620407  2.38797152  3.49046993  2.52889861  4.41035051
  1.19184833  5.41239587  0.06709269  4.31762926  2.51702515  3.40536437]",16.8401
35,0.6696,0.9665,"[ 2.51224265  4.41795597 -0.10717134  2.00757955  1.03005904  0.47226264
  1.06231832  2.27920369  2.38497175  3.4934695   2.52589911  4.4133502
  1.18884966  5.40939682  0.06409311  4.32062756  2.514026    3.40236483]",16.8056
36,0.6679,0.9931,"[ 2.50924305  4.41495679 -0.1101688   2.01057842  1.03305822  0.46926783
  1.05931857  2.28220333  2.38197196  3.49646908  2.52289959  4.41634991
  1.1858509   5.40639775  0.06109352  4.32362589  2.51102684  3.39936527]",16.772
37,0.6698,0.9557,"[ 2.50624346  4.41195767 -0.11316614  2.01357718  1.03605735  0.46627421
  1.05631883  2.28520294  2.37897219  3.49946864  2.51990009  4.4193496
  1.18285217  5.40339878  0.05809396  4.32662408  2.50802775  3.39636575]",16.7393
38,0.6748,0.919,"[ 2.50324389  4.40895862 -0.11616338  2.01657584  1.03905643  0.46328213
  1.0533191   2.28820255  2.37597243  3.50246817  2.51690062  4.42234928
  1.17985346  5.40039988  0.05509444  4.32962213  2.50502872  3.39336627]",16.7075
39,0.6753,0.8984,"[ 2.50024432  4.4059596  -0.11916056  2.01957442  1.04205549  0.46029219
  1.05031937  2.29120214  2.37297267  3.5054677   2.51390116  4.42534894
  1.17685474  5.39740105  0.05209494  4.33262007  2.50202974  3.3903668 ]",16.6766
40,0.6751,0.935,"[ 2.49724474  4.40296058 -0.1221578   2.02257299  1.04505456  0.45730388
  1.04731964  2.29420175  2.36997291  3.50846723  2.51090169  4.42834862
  1.17385596  5.39440222  0.04909543  4.33561802  2.49903074  3.38736733]",16.6465
