v,v_eff,m,t
"[[1.54776117e-08]
 [1.01357010e-05]
 [9.95107970e-09]
 [9.50826810e-06]
 [6.46432872e-06]
 [6.74516628e-05]
 [5.12416262e-07]
 [1.53691355e-06]
 [2.94568305e-05]
 [6.19845508e-07]
 [8.70364510e-06]
 [3.21145717e-07]
 [5.36202638e-07]
 [4.52754016e-05]
 [2.12682234e-05]
 [1.26308591e-07]
 [1.69908879e-05]
 [2.09490895e-05]
 [1.00442045e-09]
 [2.81166708e-06]
 [4.68638443e-05]]","[[1.54776117e-08]
 [1.01357010e-05]
 [9.95107970e-09]
 [9.50826810e-06]
 [6.46432872e-06]
 [6.74516628e-05]
 [5.12416262e-07]
 [1.53691355e-06]
 [2.94568305e-05]
 [6.19845508e-07]
 [8.70364510e-06]
 [3.21145717e-07]
 [5.36202638e-07]
 [4.52754016e-05]
 [2.12682234e-05]
 [1.26308591e-07]
 [1.69908879e-05]
 [2.09490895e-05]
 [1.00442045e-09]
 [2.81166708e-06]
 [4.68638443e-05]]","[[ 3.73227149e-04]
 [ 9.55098470e-03]
 [-2.99265296e-04]
 [ 9.25064392e-03]
 [ 7.62751325e-03]
 [-2.46386884e-02]
 [-2.14749770e-03]
 [ 3.71916952e-03]
 [-1.62822441e-02]
 [ 2.36190804e-03]
 [-8.85058223e-03]
 [ 1.70009160e-03]
 [ 2.19677576e-03]
 [-2.01860995e-02]
 [-1.38352452e-02]
 [ 1.06619760e-03]
 [-1.23660014e-02]
 [ 1.37310526e-02]
 [-9.50777790e-05]
 [-5.03040791e-03]
 [-2.05371517e-02]]",1
"[[4.57670757e-09]
 [8.34079602e-06]
 [3.60721377e-09]
 [8.09131050e-06]
 [5.19657744e-06]
 [5.90421691e-05]
 [5.68718717e-07]
 [1.17803747e-06]
 [2.68175635e-05]
 [5.71932721e-07]
 [7.03822611e-06]
 [2.56570550e-07]
 [5.19116168e-07]
 [3.83990153e-05]
 [1.97420014e-05]
 [1.37373702e-07]
 [1.43781196e-05]
 [1.74797016e-05]
 [3.06517839e-10]
 [2.32051772e-06]
 [4.05565761e-05]]","[[4.57670757e-09]
 [8.34079602e-06]
 [3.60721377e-09]
 [8.09131050e-06]
 [5.19657744e-06]
 [5.90421691e-05]
 [5.68718717e-07]
 [1.17803747e-06]
 [2.68175635e-05]
 [5.71932721e-07]
 [7.03822611e-06]
 [2.56570550e-07]
 [5.19116168e-07]
 [3.83990153e-05]
 [1.97420014e-05]
 [1.37373702e-07]
 [1.43781196e-05]
 [1.74797016e-05]
 [3.06517839e-10]
 [2.32051772e-06]
 [4.05565761e-05]]","[[ 2.02954104e-04]
 [ 8.66413090e-03]
 [-1.80180254e-04]
 [ 8.53356869e-03]
 [ 6.83880084e-03]
 [-2.30516707e-02]
 [-2.26240325e-03]
 [ 3.25612304e-03]
 [-1.55357031e-02]
 [ 2.26878701e-03]
 [-7.95889659e-03]
 [ 1.51958381e-03]
 [ 2.16149150e-03]
 [-1.85900817e-02]
 [-1.33295916e-02]
 [ 1.11191876e-03]
 [-1.13755473e-02]
 [ 1.25426199e-02]
 [-5.25229527e-05]
 [-4.56997368e-03]
 [-1.91052136e-02]]",1
"[[3.82780304e-10]
 [6.63145807e-06]
 [7.99804900e-10]
 [6.66235902e-06]
 [4.03890703e-06]
 [4.98892180e-05]
 [5.84402029e-07]
 [8.70164398e-07]
 [2.34831948e-05]
 [5.09489126e-07]
 [5.49960088e-06]
 [1.99603963e-07]
 [4.81259304e-07]
 [3.14869894e-05]
 [1.75967652e-05]
 [1.39843932e-07]
 [1.17584214e-05]
 [1.41043257e-05]
 [1.99257225e-11]
 [1.85965758e-06]
 [3.38920761e-05]]","[[3.82780304e-10]
 [6.63145807e-06]
 [7.99804900e-10]
 [6.66235902e-06]
 [4.03890703e-06]
 [4.98892180e-05]
 [5.84402029e-07]
 [8.70164398e-07]
 [2.34831948e-05]
 [5.09489126e-07]
 [5.49960088e-06]
 [1.99603963e-07]
 [4.81259304e-07]
 [3.14869894e-05]
 [1.75967652e-05]
 [1.39843932e-07]
 [1.17584214e-05]
 [1.41043257e-05]
 [1.99257225e-11]
 [1.85965758e-06]
 [3.38920761e-05]]","[[ 5.86943161e-05]
 [ 7.72548527e-03]
 [-8.48424664e-05]
 [ 7.74346377e-03]
 [ 6.02910966e-03]
 [-2.11896900e-02]
 [-2.29338576e-03]
 [ 2.79847808e-03]
 [-1.45378387e-02]
 [ 2.14135521e-03]
 [-7.03536835e-03]
 [ 1.34031178e-03]
 [ 2.08118566e-03]
 [-1.68339806e-02]
 [-1.25845495e-02]
 [ 1.12187138e-03]
 [-1.02871664e-02]
 [ 1.12667178e-02]
 [-1.33914713e-05]
 [-4.09107788e-03]
 [-1.74650704e-02]]",1
"[1.28393747e-07 1.56286548e-06 2.70528545e-05 ... 1.52157787e-03
 2.74973777e-04 3.11035257e-05]","[1.28393747e-07 1.56286548e-06 2.70528545e-05 ... 1.52157787e-03
 2.74973777e-04 3.11035257e-05]","[-0.00107496  0.00375044  0.01560371 ...  0.11702222  0.049747
 -0.01673116]",1
"[[3.67163514e-10]
 [5.02052344e-06]
 [1.47381870e-11]
 [5.23196852e-06]
 [2.98996643e-06]
 [4.01337043e-05]
 [5.55185547e-07]
 [6.09617368e-07]
 [1.95214742e-05]
 [4.32128322e-07]
 [4.09170504e-06]
 [1.48962878e-07]
 [4.21907259e-07]
 [2.46104771e-05]
 [1.48709393e-05]
 [1.32537823e-07]
 [9.16215145e-06]
 [1.08484102e-05]
 [4.59484383e-11]
 [1.42578827e-06]
 [2.69695724e-05]]","[[3.67163514e-10]
 [5.02052344e-06]
 [1.47381870e-11]
 [5.23196852e-06]
 [2.98996643e-06]
 [4.01337043e-05]
 [5.55185547e-07]
 [6.09617368e-07]
 [1.95214742e-05]
 [4.32128322e-07]
 [4.09170504e-06]
 [1.48962878e-07]
 [4.21907259e-07]
 [2.46104771e-05]
 [1.48709393e-05]
 [1.32537823e-07]
 [9.16215145e-06]
 [1.08484102e-05]
 [4.59484383e-11]
 [1.42578827e-06]
 [2.69695724e-05]]","[[-5.74845338e-05]
 [ 6.72195737e-03]
 [-1.15171039e-05]
 [ 6.86204901e-03]
 [ 5.18745581e-03]
 [-1.90053503e-02]
 [-2.23532323e-03]
 [ 2.34233992e-03]
 [-1.32549337e-02]
 [ 1.97209404e-03]
 [-6.06838902e-03]
 [ 1.15787128e-03]
 [ 1.94863166e-03]
 [-1.48826844e-02]
 [-1.15688571e-02]
 [ 1.09217234e-03]
 [-9.08071380e-03]
 [ 9.88107746e-03]
 [ 2.03355832e-05]
 [-3.58219129e-03]
 [-1.55796711e-02]]",1
"[[1.61285305e-09]
 [3.56289821e-06]
 [3.65493816e-11]
 [3.84375125e-06]
 [2.06385846e-06]
 [3.01150742e-05]
 [4.75498181e-07]
 [3.90915400e-07]
 [1.50708610e-05]
 [3.37220019e-07]
 [2.83991461e-06]
 [1.05616928e-07]
 [3.38536427e-07]
 [1.79512707e-05]
 [1.16842115e-05]
 [1.10772526e-07]
 [6.65955767e-06]
 [7.82264974e-06]
 [2.49784043e-10]
 [1.03053355e-06]
 [2.00036994e-05]]","[[1.61285305e-09]
 [3.56289821e-06]
 [3.65493816e-11]
 [3.84375125e-06]
 [2.06385846e-06]
 [3.01150742e-05]
 [4.75498181e-07]
 [3.90915400e-07]
 [1.50708610e-05]
 [3.37220019e-07]
 [2.83991461e-06]
 [1.05616928e-07]
 [3.38536427e-07]
 [1.79512707e-05]
 [1.16842115e-05]
 [1.10772526e-07]
 [6.65955767e-06]
 [7.82264974e-06]
 [2.49784043e-10]
 [1.03053355e-06]
 [2.00036994e-05]]","[[-1.20481025e-04]
 [ 5.66269228e-03]
 [ 1.81368254e-05]
 [ 5.88164614e-03]
 [ 4.30984062e-03]
 [-1.64631609e-02]
 [-2.06869128e-03]
 [ 1.87569683e-03]
 [-1.16463620e-02]
 [ 1.74211945e-03]
 [-5.05561386e-03]
 [ 9.74962744e-04]
 [ 1.74551650e-03]
 [-1.27106820e-02]
 [-1.02546528e-02]
 [ 9.98475203e-04]
 [-7.74183564e-03]
 [ 8.39070007e-03]
 [ 4.74136730e-05]
 [-3.04545595e-03]
 [-1.34176486e-02]]",1
"[[2.13867674e-09]
 [2.28660157e-06]
 [6.21193707e-11]
 [2.53094268e-06]
 [1.26924302e-06]
 [2.02919922e-05]
 [3.55820044e-07]
 [2.18101293e-07]
 [1.04093268e-05]
 [2.32988060e-07]
 [1.77951172e-06]
 [6.90031621e-08]
 [2.39987312e-07]
 [1.17985756e-05]
 [8.20474567e-06]
 [8.21741059e-08]
 [4.37561363e-06]
 [5.08669139e-06]
 [4.66831963e-10]
 [6.68119842e-07]
 [1.32903244e-05]]","[[2.13867674e-09]
 [2.28660157e-06]
 [6.21193707e-11]
 [2.53094268e-06]
 [1.26924302e-06]
 [2.02919922e-05]
 [3.55820044e-07]
 [2.18101293e-07]
 [1.04093268e-05]
 [2.32988060e-07]
 [1.77951172e-06]
 [6.90031621e-08]
 [2.39987312e-07]
 [1.17985756e-05]
 [8.20474567e-06]
 [8.21741059e-08]
 [4.37561363e-06]
 [5.08669139e-06]
 [4.66831963e-10]
 [6.68119842e-07]
 [1.32903244e-05]]","[[-1.38737488e-04]
 [ 4.53645391e-03]
 [ 2.36447528e-05]
 [ 4.77268102e-03]
 [ 3.37982059e-03]
 [-1.35139902e-02]
 [-1.78951960e-03]
 [ 1.40103948e-03]
 [-9.67904650e-03]
 [ 1.44806510e-03]
 [-4.00195020e-03]
 [ 7.88053589e-04]
 [ 1.46965500e-03]
 [-1.03047164e-02]
 [-8.59317817e-03]
 [ 8.59980787e-04]
 [-6.27539024e-03]
 [ 6.76610837e-03]
 [ 6.48188836e-05]
 [-2.45215794e-03]
 [-1.09367692e-02]]",1
"[8.36330246e-08 2.18252966e-05 1.26861698e-05 ... 6.86576010e-04
 3.76158029e-04 1.32198131e-05]","[8.36330246e-08 2.18252966e-05 1.26861698e-05 ... 6.86576010e-04
 3.76158029e-04 1.32198131e-05]","[-0.00086758 -0.01401527  0.01068529 ...  0.07860779  0.05818438
 -0.01090772]",1
"[[1.94728147e-09]
 [1.23446167e-06]
 [5.11816167e-11]
 [1.40228348e-06]
 [6.56295555e-07]
 [1.14866681e-05]
 [2.20644666e-07]
 [1.01255557e-07]
 [6.02736310e-06]
 [1.35170432e-07]
 [9.38090471e-07]
 [3.81321420e-08]
 [1.42325720e-07]
 [6.52287494e-06]
 [4.82427770e-06]
 [5.06489121e-08]
 [2.41814570e-06]
 [2.78361241e-06]
 [5.11737497e-10]
 [3.65401586e-07]
 [7.42164182e-06]]","[[1.94728147e-09]
 [1.23446167e-06]
 [5.11816167e-11]
 [1.40228348e-06]
 [6.56295555e-07]
 [1.14866681e-05]
 [2.20644666e-07]
 [1.01255557e-07]
 [6.02736310e-06]
 [1.35170432e-07]
 [9.38090471e-07]
 [3.81321420e-08]
 [1.42325720e-07]
 [6.52287494e-06]
 [4.82427770e-06]
 [5.06489121e-08]
 [2.41814570e-06]
 [2.78361241e-06]
 [5.11737497e-10]
 [3.65401586e-07]
 [7.42164182e-06]]","[[-1.32384037e-04]
 [ 3.33318992e-03]
 [ 2.14623985e-05]
 [ 3.55254153e-03]
 [ 2.43036211e-03]
 [-1.01675962e-02]
 [-1.40918487e-03]
 [ 9.54620349e-04]
 [-7.36520658e-03]
 [ 1.10296595e-03]
 [-2.90565212e-03]
 [ 5.85823590e-04]
 [ 1.13178243e-03]
 [-7.66197589e-03]
 [-6.58927153e-03]
 [ 6.75159395e-04]
 [-4.66511643e-03]
 [ 5.00524842e-03]
 [ 6.78648471e-05]
 [-1.81345369e-03]
 [-8.17280713e-03]]",1
"[[1.11017816e-09]
 [4.67787461e-07]
 [2.26730672e-11]
 [5.45448574e-07]
 [2.38153575e-07]
 [4.55769226e-06]
 [9.48232324e-08]
 [3.26204029e-08]
 [2.44173512e-06]
 [5.49254517e-08]
 [3.47167904e-07]
 [1.48517943e-08]
 [5.89276693e-08]
 [2.53077570e-06]
 [1.98239724e-06]
 [2.16637667e-08]
 [9.37728987e-07]
 [1.06959123e-06]
 [3.28405013e-10]
 [1.40622950e-07]
 [2.90667999e-06]]","[[1.11017816e-09]
 [4.67787461e-07]
 [2.26730672e-11]
 [5.45448574e-07]
 [2.38153575e-07]
 [4.55769226e-06]
 [9.48232324e-08]
 [3.26204029e-08]
 [2.44173512e-06]
 [5.49254517e-08]
 [3.47167904e-07]
 [1.48517943e-08]
 [5.89276693e-08]
 [2.53077570e-06]
 [1.98239724e-06]
 [2.16637667e-08]
 [9.37728987e-07]
 [1.06959123e-06]
 [3.28405013e-10]
 [1.40622950e-07]
 [2.90667999e-06]]","[[-9.99580085e-05]
 [ 2.05184969e-03]
 [ 1.42848733e-05]
 [ 2.21563471e-03]
 [ 1.46402943e-03]
 [-6.40462570e-03]
 [-9.23801435e-04]
 [ 5.41833578e-04]
 [-4.68781570e-03]
 [ 7.03085390e-04]
 [-1.76762868e-03]
 [ 3.65603814e-04]
 [ 7.28250660e-04]
 [-4.77252358e-03]
 [-4.22392887e-03]
 [ 4.41558490e-04]
 [-2.90509223e-03]
 [ 3.10263132e-03]
 [ 5.43658452e-05]
 [-1.12499180e-03]
 [-5.11469647e-03]]",1
