v,v_eff,m,t
"[[8.31865409e-06]
 [4.71733655e-06]
 [1.46641145e-06]
 [1.20113644e-05]
 [4.13761076e-07]
 [2.45929906e-05]
 [7.46491878e-06]
 [4.18876124e-09]
 [1.70049149e-05]
 [1.09187050e-05]
 [8.20035222e-07]
 [2.19464416e-06]
 [1.43401419e-05]
 [1.09780653e-05]
 [6.45641849e-07]
 [2.23884353e-05]
 [2.51302222e-05]
 [1.37803546e-05]
 [7.00511241e-08]
 [4.87842077e-07]
 [7.30811557e-09]]","[[8.31865409e-06]
 [4.71733655e-06]
 [1.46641145e-06]
 [1.20113644e-05]
 [4.13761076e-07]
 [2.45929906e-05]
 [7.46491878e-06]
 [4.18876124e-09]
 [1.70049149e-05]
 [1.09187050e-05]
 [8.20035222e-07]
 [2.19464416e-06]
 [1.43401419e-05]
 [1.09780653e-05]
 [6.45641849e-07]
 [2.23884353e-05]
 [2.51302222e-05]
 [1.37803546e-05]
 [7.00511241e-08]
 [4.87842077e-07]
 [7.30811557e-09]]","[[ 0.00865262]
 [ 0.00651583]
 [-0.00363286]
 [ 0.01039722]
 [ 0.00192973]
 [ 0.0148774 ]
 [-0.0081966 ]
 [-0.00019416]
 [ 0.0123711 ]
 [-0.00991304]
 [-0.00271667]
 [-0.0044443 ]
 [-0.01136051]
 [ 0.00993995]
 [ 0.00241056]
 [-0.01419493]
 [ 0.01503902]
 [-0.01113657]
 [-0.00079402]
 [-0.00209537]
 [ 0.00025646]]",1
"[[1.80875769e-05]
 [1.02386371e-05]
 [3.19485823e-06]
 [2.63709184e-05]
 [9.28591417e-07]
 [5.38932289e-05]
 [1.62905896e-05]
 [5.21189280e-09]
 [3.73112723e-05]
 [2.38294068e-05]
 [1.76284521e-06]
 [4.79526176e-06]
 [3.16923304e-05]
 [2.38968230e-05]
 [1.43729213e-06]
 [4.92593823e-05]
 [5.50259293e-05]
 [3.02395472e-05]
 [1.74788829e-07]
 [1.14267982e-06]
 [1.34917924e-08]]","[[1.80875769e-05]
 [1.02386371e-05]
 [3.19485823e-06]
 [2.63709184e-05]
 [9.28591417e-07]
 [5.38932289e-05]
 [1.62905896e-05]
 [5.21189280e-09]
 [3.73112723e-05]
 [2.38294068e-05]
 [1.76284521e-06]
 [4.79526176e-06]
 [3.16923304e-05]
 [2.38968230e-05]
 [1.43729213e-06]
 [4.92593823e-05]
 [5.50259293e-05]
 [3.02395472e-05]
 [1.74788829e-07]
 [1.14267982e-06]
 [1.34917924e-08]]","[[ 0.01275885]
 [ 0.00959936]
 [-0.00536225]
 [ 0.01540579]
 [ 0.0028909 ]
 [ 0.0220236 ]
 [-0.01210848]
 [-0.00021658]
 [ 0.01832489]
 [-0.01464461]
 [-0.00398317]
 [-0.00656943]
 [-0.01688878]
 [ 0.01466531]
 [ 0.00359661]
 [-0.02105551]
 [ 0.02225384]
 [-0.01649715]
 [-0.00125423]
 [-0.00320689]
 [ 0.00034846]]",1
"[[3.12688936e-05]
 [1.76987093e-05]
 [5.52048119e-06]
 [4.60096444e-05]
 [1.64621340e-06]
 [9.38810826e-05]
 [2.82851615e-05]
 [4.88532201e-09]
 [6.50594412e-05]
 [4.13675610e-05]
 [3.02483389e-06]
 [8.31433186e-06]
 [5.55821324e-05]
 [4.13874206e-05]
 [2.53856598e-06]
 [8.60780352e-05]
 [9.58477223e-05]
 [5.27595901e-05]
 [3.33180371e-07]
 [2.09603024e-06]
 [2.12567966e-08]]","[[3.12688936e-05]
 [1.76987093e-05]
 [5.52048119e-06]
 [4.60096444e-05]
 [1.64621340e-06]
 [9.38810826e-05]
 [2.82851615e-05]
 [4.88532201e-09]
 [6.50594412e-05]
 [4.13675610e-05]
 [3.02483389e-06]
 [8.31433186e-06]
 [5.55821324e-05]
 [4.13874206e-05]
 [2.53856598e-06]
 [8.60780352e-05]
 [9.58477223e-05]
 [5.27595901e-05]
 [3.33180371e-07]
 [2.09603024e-06]
 [2.12567966e-08]]","[[ 0.01677558]
 [ 0.01262095]
 [-0.00704871]
 [ 0.02034912]
 [ 0.00384915]
 [ 0.02906768]
 [-0.01595514]
 [-0.00020969]
 [ 0.02419783]
 [-0.01929529]
 [-0.00521761]
 [-0.00865037]
 [-0.02236603]
 [ 0.01929992]
 [ 0.00477986]
 [-0.02783347]
 [ 0.02937055]
 [-0.02179074]
 [-0.00173165]
 [-0.0043433 ]
 [ 0.00043739]]",1
"[2.18150293e-06 8.93795524e-07 1.23344788e-06 ... 2.12547948e-04
 1.29450385e-04 4.35948440e-05]","[2.18150293e-06 8.93795524e-07 1.23344788e-06 ... 2.12547948e-04
 1.29450385e-04 4.35948440e-05]","[-0.00443097 -0.00283622  0.00333182 ...  0.04373707  0.03413288
  0.01980792]",1
"[[4.71077428e-05]
 [2.67061699e-05]
 [8.29337304e-06]
 [6.99197194e-05]
 [2.52755498e-06]
 [1.42485136e-04]
 [4.28237081e-05]
 [3.78165799e-09]
 [9.88158420e-05]
 [6.26084168e-05]
 [4.53985938e-06]
 [1.25405055e-05]
 [8.48015691e-05]
 [6.25033998e-05]
 [3.90010306e-06]
 [1.30946309e-04]
 [1.45558693e-04]
 [8.02152648e-05]
 [5.35857182e-07]
 [3.30670380e-06]
 [3.15247150e-08]]","[[4.71077428e-05]
 [2.67061699e-05]
 [8.29337304e-06]
 [6.99197194e-05]
 [2.52755498e-06]
 [1.42485136e-04]
 [4.28237081e-05]
 [3.78165799e-09]
 [9.88158420e-05]
 [6.26084168e-05]
 [4.53985938e-06]
 [1.25405055e-05]
 [8.48015691e-05]
 [6.25033998e-05]
 [3.90010306e-06]
 [1.30946309e-04]
 [1.45558693e-04]
 [8.02152648e-05]
 [5.35857182e-07]
 [3.30670380e-06]
 [3.15247150e-08]]","[[ 0.02059052]
 [ 0.0155034 ]
 [-0.00863947]
 [ 0.0250854 ]
 [ 0.00476949]
 [ 0.03581014]
 [-0.01963195]
 [-0.00018449]
 [ 0.02982185]
 [-0.02373764]
 [-0.00639208]
 [-0.01062377]
 [-0.02762633]
 [ 0.02371773]
 [ 0.0059246 ]
 [-0.03432953]
 [ 0.03619431]
 [-0.02686889]
 [-0.00219607]
 [-0.0054553 ]
 [ 0.00053266]]",1
"[[3.21676501e-05]
 [1.86120628e-05]
 [5.54842264e-06]
 [4.77733580e-05]
 [1.62941063e-06]
 [9.75342909e-05]
 [2.94225081e-05]
 [7.41744610e-09]
 [6.76061632e-05]
 [4.30487698e-05]
 [3.21194876e-06]
 [8.41035878e-06]
 [5.77529515e-05]
 [4.28441769e-05]
 [2.69338026e-06]
 [8.92446946e-05]
 [1.00119312e-04]
 [5.50180175e-05]
 [3.03623721e-07]
 [2.10878006e-06]
 [4.26248533e-08]]","[[3.21676501e-05]
 [1.86120628e-05]
 [5.54842264e-06]
 [4.77733580e-05]
 [1.62941063e-06]
 [9.75342909e-05]
 [2.94225081e-05]
 [7.41744610e-09]
 [6.76061632e-05]
 [4.30487698e-05]
 [3.21194876e-06]
 [8.41035878e-06]
 [5.77529515e-05]
 [4.28441769e-05]
 [2.69338026e-06]
 [8.92446946e-05]
 [1.00119312e-04]
 [5.50180175e-05]
 [3.03623721e-07]
 [2.10878006e-06]
 [4.26248533e-08]]","[[ 0.01701496]
 [ 0.01294251]
 [-0.00706653]
 [ 0.02073548]
 [ 0.00382945]
 [ 0.02962784]
 [-0.01627276]
 [-0.00025837]
 [ 0.02466689]
 [-0.01968347]
 [-0.00537657]
 [-0.00870019]
 [-0.02279861]
 [ 0.01963664]
 [ 0.00492346]
 [-0.02834082]
 [ 0.03001789]
 [-0.02225224]
 [-0.00165306]
 [-0.00435649]
 [ 0.00061937]]",1
"[[4.62571015e-05]
 [2.68339826e-05]
 [7.94520097e-06]
 [6.92739287e-05]
 [2.37910988e-06]
 [1.41271997e-04]
 [4.25287526e-05]
 [6.83555402e-09]
 [9.79848477e-05]
 [6.22020391e-05]
 [4.61089307e-06]
 [1.20962564e-05]
 [8.40329326e-05]
 [6.17735189e-05]
 [3.94595799e-06]
 [1.29508618e-04]
 [1.45147603e-04]
 [7.98366081e-05]
 [4.60957781e-07]
 [3.15669476e-06]
 [6.25734454e-08]]","[[4.62571015e-05]
 [2.68339826e-05]
 [7.94520097e-06]
 [6.92739287e-05]
 [2.37910988e-06]
 [1.41271997e-04]
 [4.25287526e-05]
 [6.83555402e-09]
 [9.79848477e-05]
 [6.22020391e-05]
 [4.61089307e-06]
 [1.20962564e-05]
 [8.40329326e-05]
 [6.17735189e-05]
 [3.94595799e-06]
 [1.29508618e-04]
 [1.45147603e-04]
 [7.98366081e-05]
 [4.60957781e-07]
 [3.15669476e-06]
 [6.25734454e-08]]","[[ 0.02040377]
 [ 0.01554046]
 [-0.00845617]
 [ 0.02496929]
 [ 0.00462731]
 [ 0.03565737]
 [-0.01956422]
 [-0.00024803]
 [ 0.02969619]
 [-0.02366048]
 [-0.0064419 ]
 [-0.0104339 ]
 [-0.02750084]
 [ 0.02357884]
 [ 0.00595933]
 [-0.03414056]
 [ 0.03614317]
 [-0.0268054 ]
 [-0.00203682]
 [-0.00533013]
 [ 0.00075044]]",1
"[6.95894311e-08 2.93099213e-08 4.04538663e-08 ... 6.68749707e-06
 4.44649979e-06 1.53565403e-06]","[6.95894311e-08 2.93099213e-08 4.04538663e-08 ... 6.68749707e-06
 4.44649979e-06 1.53565403e-06]","[-0.00079139 -0.0005136   0.00060339 ...  0.00775806  0.00632602
  0.00371765]",1
"[[2.99430689e-05]
 [1.77495037e-05]
 [5.02913174e-06]
 [4.48423548e-05]
 [1.44258117e-06]
 [9.16282090e-05]
 [2.76962435e-05]
 [1.08494311e-08]
 [6.35137311e-05]
 [4.05460624e-05]
 [3.09823974e-06]
 [7.68081475e-06]
 [5.41939759e-05]
 [4.01351309e-05]
 [2.58135366e-06]
 [8.35896439e-05]
 [9.46239790e-05]
 [5.18890031e-05]
 [2.39823556e-07]
 [1.89125296e-06]
 [6.90940141e-08]]","[[2.99430689e-05]
 [1.77495037e-05]
 [5.02913174e-06]
 [4.48423548e-05]
 [1.44258117e-06]
 [9.16282090e-05]
 [2.76962435e-05]
 [1.08494311e-08]
 [6.35137311e-05]
 [4.05460624e-05]
 [3.09823974e-06]
 [7.68081475e-06]
 [5.41939759e-05]
 [4.01351309e-05]
 [2.58135366e-06]
 [8.35896439e-05]
 [9.46239790e-05]
 [5.18890031e-05]
 [2.39823556e-07]
 [1.89125296e-06]
 [6.90940141e-08]]","[[ 0.01641608]
 [ 0.01263905]
 [-0.00672772]
 [ 0.02008933]
 [ 0.00360323]
 [ 0.02871679]
 [-0.01578817]
 [-0.00031248]
 [ 0.02390865]
 [-0.01910274]
 [-0.00528055]
 [-0.00831428]
 [-0.02208497]
 [ 0.01900569]
 [ 0.00481998]
 [-0.02742821]
 [ 0.02918246]
 [-0.02161021]
 [-0.00146915]
 [-0.00412568]
 [ 0.00078857]]",1
"[[4.53215132e-05]
 [2.69033630e-05]
 [7.58563783e-06]
 [6.84840900e-05]
 [2.22936544e-06]
 [1.39752767e-04]
 [4.21411466e-05]
 [1.06894937e-08]
 [9.69367320e-05]
 [6.16617478e-05]
 [4.66958786e-06]
 [1.16425617e-05]
 [8.30804385e-05]
 [6.09123915e-05]
 [3.98088163e-06]
 [1.27778400e-04]
 [1.44421640e-04]
 [7.92910718e-05]
 [3.91575327e-07]
 [3.00377348e-06]
 [1.03226062e-07]]","[[4.53215132e-05]
 [2.69033630e-05]
 [7.58563783e-06]
 [6.84840900e-05]
 [2.22936544e-06]
 [1.39752767e-04]
 [4.21411466e-05]
 [1.06894937e-08]
 [9.69367320e-05]
 [6.16617478e-05]
 [4.66958786e-06]
 [1.16425617e-05]
 [8.30804385e-05]
 [6.09123915e-05]
 [3.98088163e-06]
 [1.27778400e-04]
 [1.44421640e-04]
 [7.92910718e-05]
 [3.91575327e-07]
 [3.00377348e-06]
 [1.03226062e-07]]","[[ 0.02019638]
 [ 0.01556054]
 [-0.00826261]
 [ 0.02482653]
 [ 0.00447932]
 [ 0.03546512]
 [-0.01947486]
 [-0.00031017]
 [ 0.02953694]
 [-0.0235575 ]
 [-0.00648277]
 [-0.01023636]
 [-0.02734454]
 [ 0.02341392]
 [ 0.00598564]
 [-0.03391173]
 [ 0.03605267]
 [-0.02671366]
 [-0.00187728]
 [-0.00519942]
 [ 0.00096386]]",1
