epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
0,0.695,0.6855,"[ 2.62295174e+00  4.52294672e+00 -1.99335160e-03  1.89662507e+00
  9.19113876e-01  5.83175808e-01  1.17327564e+00  2.16826903e+00
  2.49595709e+00  3.38252564e+00  2.63686058e+00  4.30243948e+00
  1.28165161e+00  5.52036835e+00  1.75074037e-01  4.20973321e+00
  2.62499324e+00  3.50736130e+00  8.79472542e-01  1.24768173e+00
  5.03422068e+00]",13.9248
1,0.6689,0.8335,"[2.62001501e+00 4.52594278e+00 9.29561041e-04 1.89962147e+00
 9.22108466e-01 5.80177038e-01 1.17028361e+00 2.17125500e+00
 2.49295877e+00 3.38551515e+00 2.63386506e+00 4.30541750e+00
 1.28464124e+00 5.51737001e+00 1.72075907e-01 4.21271755e+00
 2.62199595e+00 3.51035872e+00 8.82373236e-01 1.24468897e+00
 5.03122222e+00]",13.858
2,0.6531,0.9959,"[2.61702680e+00 4.52894166e+00 3.91895520e-03 1.90262048e+00
 9.25106991e-01 5.77177372e-01 1.16728561e+00 2.17425140e+00
 2.48995922e+00 3.38851248e+00 2.63086630e+00 4.30841101e+00
 1.28763856e+00 5.51437046e+00 1.69076414e-01 4.21571372e+00
 2.61899670e+00 3.51335800e+00 8.85349436e-01 1.24169102e+00
 5.02822263e+00]",13.7906
3,0.6564,1.0444,"[2.61403301 4.53194094 0.00691416 1.90561986 0.92810608 0.57417758
 1.16428683 2.17724933 2.4869595  3.39151086 2.62786708 4.31140666
 1.29063691 5.51137075 0.16607674 4.21871144 2.61599717 3.51635755
 0.88833455 1.23869234 5.0252229 ]",13.7224
4,0.6521,1.0949,"[2.61103855 4.53494026 0.00991032 1.90861926 0.93110525 0.57117779
 1.16128799 2.18024757 2.48395977 3.39450934 2.62486781 4.31440235
 1.29363533 5.50837102 0.16307705 4.22170929 2.61299762 3.51935711
 0.89131932 1.23569361 5.02222314]",13.6536
5,0.651,1.1189,"[2.60804325 4.53793963 0.01290732 1.91161871 0.93410452 0.56817797
 1.15828905 2.18324612 2.48096003 3.39750798 2.62186846 4.31739826
 1.29663389 5.50537127 0.16007734 4.22470736 2.60999803 3.52235671
 0.89430441 1.23269479 5.01922337]",13.584
6,0.6591,1.0411,"[2.6050482  4.54093894 0.01590438 1.91461811 0.93710375 0.56517818
 1.15529022 2.18624469 2.47796031 3.4005065  2.61886915 4.32039369
 1.29963229 5.50237154 0.15707768 4.22770525 2.60699849 3.52535628
 0.89728631 1.22969607 5.01622362]",13.5136
7,0.6593,1.0752,"[2.60205288 4.54393826 0.01890174 1.91761751 0.94010301 0.56217838
 1.1522914  2.18924338 2.47496059 3.40350504 2.61586982 4.32338901
 1.30263068 5.49937181 0.15407802 4.23070315 2.60399894 3.52835585
 0.9002663  1.22669736 5.01322386]",13.4424
8,0.6601,1.0247,"[2.59905759 4.54693753 0.02189921 1.92061688 0.94310226 0.5591786
 1.14929265 2.1922421  2.4719609  3.40650353 2.61287052 4.32638398
 1.30562896 5.4963721  0.15107839 4.23370094 2.60099941 3.53135539
 0.90324253 1.22369872 5.01022412]",13.3705
9,0.6613,1.0195,"[2.59606201 4.54993682 0.02489691 1.92361626 0.94610154 0.55617882
 1.1462939  2.19524093 2.4689612  3.40950205 2.60987118 4.32937889
 1.30862724 5.49337238 0.14807876 4.23669874 2.59799988 3.53435495
 0.90621575 1.22070008 5.00722438]",13.2978
