epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
0,0.7111,0.5422,"[2.62322591e+00 4.52293283e+00 1.73916901e-03 1.90260452e+00
 9.25093615e-01 5.77181459e-01 1.17330705e+00 2.16822282e+00
 2.48996480e+00 3.38848488e+00 2.63088230e+00 4.30236276e+00
 1.28761003e+00 5.51437574e+00 1.69082167e-01 4.21567104e+00
 2.61900403e+00 3.51335130e+00 8.85074514e-01 1.24170895e+00
 5.02822932e+00 6.08076977e+00 1.96630312e+00 4.35298931e+00]",2.8546
1,0.6986,0.6107,"[ 2.62622502e+00  4.51993374e+00 -1.24383048e-03  1.90559828e+00
  9.28092313e-01  5.74183081e-01  1.17630649e+00  2.16522386e+00
  2.48696674e+00  3.39148412e+00  2.62788632e+00  4.29936616e+00
  1.29060768e+00  5.51137743e+00  1.66083485e-01  4.21867015e+00
  2.61600496e+00  3.51635066e+00  8.88071229e-01  1.23870980e+00
  5.02523453e+00  6.07777508e+00  1.96330480e+00  4.35598582e+00]",2.8698
2,0.6931,0.6845,"[ 2.62922073e+00  4.51693870e+00 -4.20878307e-03  1.90857436e+00
  9.31085457e-01  5.71192344e-01  1.17930366e+00  2.16222886e+00
  2.48397711e+00  3.39448023e+00  2.62490041e+00  4.29639055e+00
  1.29359351e+00  5.50838583e+00  1.63090432e-01  4.22166550e+00
  2.61300959e+00  3.51934737e+00  8.91056851e-01  1.23571404e+00
  5.02226873e+00  6.07480858e+00  1.96031522e+00  4.35896510e+00]",2.8894
3,0.6931,0.7064,"[ 2.62822202e+00  4.51793706e+00 -3.21645908e-03  1.90758072e+00
  9.30087659e-01  5.72189192e-01  1.17830454e+00  2.16322736e+00
  2.48497374e+00  3.39348145e+00  2.62589688e+00  4.29738032e+00
  1.29259855e+00  5.50938325e+00  1.64088213e-01  4.22066698e+00
  2.61400816e+00  3.51834841e+00  8.90060876e-01  1.23671273e+00
  5.02325536e+00  6.07579588e+00  1.96131141e+00  4.35797247e+00]",2.8823
4,0.6932,0.6855,"[ 2.62921801e+00  4.51694169e+00 -4.18466060e-03  1.90855858e+00
  9.31081264e-01  5.71197824e-01  1.17930189e+00  2.16223202e+00
  2.48398341e+00  3.39447782e+00  2.62490993e+00  4.29640275e+00
  1.29358538e+00  5.50839109e+00  1.63094696e-01  4.22166264e+00
  2.61301248e+00  3.51934533e+00  8.91047491e-01  1.23571669e+00
  5.02228687e+00  6.07482674e+00  1.96032109e+00  4.35895325e+00]",2.8894
5,0.6932,0.7057,"[ 2.62821915e+00  4.51794024e+00 -3.19117720e-03  1.90756411e+00
  9.30083209e-01  5.72195023e-01  1.17830267e+00  2.16323071e+00
  2.48498043e+00  3.39347889e+00  2.62590689e+00  4.29739348e+00
  1.29258987e+00  5.50938882e+00  1.64092736e-01  4.22066395e+00
  2.61401123e+00  3.51834625e+00  8.90051002e-01  1.23671554e+00
  5.02327482e+00  6.07581534e+00  1.96131767e+00  4.35795983e+00]",2.8824
6,0.6932,0.7013,"[ 2.62921644e+00  4.51694330e+00 -4.16904044e-03  1.90854876e+00
  9.31078945e-01  5.71200723e-01  1.17930090e+00  2.16223386e+00
  2.48398688e+00  3.39447646e+00  2.62491598e+00  4.29640757e+00
  1.29358122e+00  5.50839410e+00  1.63097081e-01  4.22166105e+00
  2.61301413e+00  3.51934420e+00  8.91041768e-01  1.23571820e+00
  5.02229520e+00  6.07483500e+00  1.96032391e+00  4.35894731e+00]",2.8894
7,0.6932,0.687,"[ 2.63021492e+00  4.51594497e+00 -5.15527680e-03  1.90953974e+00
  9.32076588e-01  5.70203831e-01  1.18029991e+00  2.16123563e+00
  2.48299045e+00  3.39547512e+00  2.62392134e+00  4.29541484e+00
  1.29457653e+00  5.50739707e+00  1.62099487e-01  4.22265946e+00
  2.61201575e+00  3.52034306e+00  8.92036448e-01  1.23471968e+00
  5.02130627e+00  6.07384579e+00  1.95932722e+00  4.35994045e+00]",2.8968
8,0.6932,0.6755,"[ 2.63120955  4.51495129 -0.00611374  1.91051137  0.93306793  0.56921559
  1.18129634  2.16024188  2.4820035   3.39647021  2.62293808  4.29444637
  1.2955586   5.50640754  0.1611082   4.22365357  2.61102156  3.52133889
  0.89301913  1.23372502  5.02034916  6.07288887  1.95834074  4.36091402]",2.9049
9,0.6931,0.6942,"[ 2.62824199e+00  4.51791253e+00 -3.33116949e-03  1.90767025e+00
  9.30120472e-01  5.72143943e-01  1.17831817e+00  2.16320424e+00
  2.48492501e+00  3.39350011e+00  2.62584260e+00  4.29725484e+00
  1.29266720e+00  5.50934483e+00  1.64055355e-01  4.22068946e+00
  2.61398630e+00  3.51836437e+00  8.90119604e-01  1.23669261e+00
  5.02309960e+00  6.07564068e+00  1.96125755e+00  4.35807041e+00]",2.8815
10,0.6932,0.6695,"[ 2.62923736e+00  4.51691785e+00 -4.29502873e-03  1.90864455e+00
  9.31113110e-01  5.71153879e-01  1.17931512e+00  2.16220962e+00
  2.48393614e+00  3.39449593e+00  2.62485778e+00  4.29628042e+00
  1.29365205e+00  5.50835387e+00  1.63062845e-01  4.22168447e+00
  2.61299127e+00  3.51936084e+00  8.91104029e-01  1.23569718e+00
  5.02213568e+00  6.07467557e+00  1.96026861e+00  4.35904849e+00]",2.8886
11,0.6932,0.6977,"[ 2.62825837e+00  4.51789281e+00 -3.43813599e-03  1.90774970e+00
  9.30147163e-01  5.72107318e-01  1.17832922e+00  2.16318523e+00
  2.48488505e+00  3.39351525e+00  2.62579507e+00  4.29715514e+00
  1.29272296e+00  5.50931307e+00  1.64028510e-01  4.22070768e+00
  2.61396845e+00  3.51837729e+00  8.90170116e-01  1.23667622e+00
  5.02297012e+00  6.07551264e+00  1.96121482e+00  4.35815061e+00]",2.8809
12,0.6932,0.716,"[ 2.62726155e+00  4.51888896e+00 -2.45954772e-03  1.90676610e+00
  9.29152408e-01  5.73099998e-01  1.17733135e+00  2.16418154e+00
  2.48587707e+00  3.39251818e+00  2.62678565e+00  4.29813368e+00
  1.29173439e+00  5.51030681e+00  1.65023206e-01  4.21971122e+00
  2.61496498e+00  3.51737978e+00  8.89180321e-01  1.23767304e+00
  5.02394127e+00  6.07648498e+00  1.96220626e+00  4.35716722e+00]",2.8743
