epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
0,0.6843,0.8932,"[2.65819617 4.48801568 0.03870999 1.85604236 0.88410529 0.54220235
 1.13233105 2.13323368 2.45497266]",1.9681
1,0.6844,0.8218,"[2.70814024 4.43818428 0.08869615 1.90269562 0.83412282 0.49223155
 1.08237223 2.08325208 2.40498603]",1.6549
2,0.6878,0.8273,"[2.75806578 4.38954638 0.13867992 1.9523246  0.78414446 0.44226281
 1.03242407 2.03327406 2.35500021]",1.379
3,0.6907,0.7493,"[2.8079398  4.43786311 0.18865653 2.00210119 0.73417635 0.3923048
 0.98250009 1.98330499 2.30501877]",1.1298
4,0.6927,0.7198,"[2.85746793 4.4871995  0.23858868 2.05183455 0.68426517 0.34241836
 0.93270521 1.93338703 2.25506643]",0.9362
5,0.6932,0.6851,"[2.89973903 4.53026373 0.28243081 2.09542108 0.64046183 0.2986772
 0.88914425 1.88956254 2.211167  ]",0.8192
6,0.6932,0.6833,"[2.91040099 4.53913029 0.29064162 2.10386259 0.63220948 0.29034499
 0.88062612 1.88133927 2.20303655]",0.8013
7,0.6933,0.6696,"[2.91886572 4.54695988 0.29860695 2.11178481 0.62425144 0.28240386
 0.87271823 1.87337616 2.19505761]",0.7868
8,0.6932,0.7116,"[2.93584508 4.55315936 0.30465747 2.11787957 0.61819278 0.27632173
 0.86659186 1.86732549 2.1890288 ]",0.7705
9,0.6933,0.686,"[2.95552644 4.55189671 0.30305197 2.11643146 0.619764   0.27778617
 0.86796032 1.86893121 2.19075986]",0.7601
10,0.6928,0.7067,"[2.97224466 4.55801105 0.30909294 2.12249469 0.61371908 0.27171841
 0.86187096 1.86289204 2.18473684]",0.745
11,0.6929,0.6576,"[2.99161522 4.55701068 0.3077189  2.12127332 0.61506294 0.27291718
 0.86298901 1.86427471 2.18627633]",0.7345
12,0.6933,0.6839,"[3.01461275 4.55528018 0.30578857 2.11938935 0.61698625 0.27478923
 0.86481776 1.86620765 2.18823769]",0.7221
13,0.6932,0.6905,"[3.03945379 4.5533133  0.3037983  2.11740136 0.61897666 0.27676982
 0.86679365 1.86819936 2.19023305]",0.7086
14,0.6931,0.682,"[3.06032623 4.55875567 0.30965482 2.12317634 0.61312947 0.27107444
 0.86113942 1.86233613 2.18431391]",0.6916
15,0.6933,0.7082,"[3.08676941 4.55665866 0.30763394 2.12114306 0.61515152 0.27313047
 0.86319317 1.8643562  2.18632583]",0.6762
16,0.6932,0.7072,"[3.10958989 4.55338098 0.30385858 2.11745057 0.61892499 0.27662132
 0.8666951  1.86814992 2.19020052]",0.6643
17,0.6932,0.7133,"[3.13107519 4.55692957 0.30775088 2.12129788 0.61503323 0.27292349
 0.8629661  1.86424843 2.18625882]",0.6482
18,0.6933,0.7153,"[3.14899095 4.55326488 0.30383474 2.11740864 0.61895181 0.2766735
 0.86675626 1.86817396 2.1902148 ]",0.6393
19,0.6932,0.658,"[3.1700737  4.55460329 0.30548427 2.11899543 0.61729527 0.27528448
 0.86531346 1.86649968 2.18844035]",0.625
20,0.6932,0.7041,"[3.18841802 4.55650758 0.30746304 2.12096543 0.61531651 0.2733661
 0.86336742 1.86451952 2.18645248]",0.6126
21,0.6932,0.6796,"[3.19161447 4.56025393 0.31139861 2.12488457 0.61137722 0.26962502
 0.85952731 1.86057614 2.18248648]",0.6088
22,0.6932,0.6965,"[3.19339888 4.56193724 0.31330923 2.12677524 0.60946088 0.26795865
 0.85773811 1.8586543  2.18053387]",0.6069
23,0.6932,0.6762,"[3.20020585 4.55585315 0.30710819 2.12056958 0.61566096 0.27402013
 0.86389105 1.86485212 2.18670018]",0.6054
24,0.6932,0.7046,"[3.20706996 4.56178843 0.31363565 2.12702906 0.60910082 0.26817258
 0.85774566 1.85826802 2.17994247]",0.5984
25,0.6933,0.7176,"[3.21394282 4.55954696 0.31156527 2.12494495 0.61116587 0.27045855
 0.85990898 1.86032944 2.18198012]",0.5949
26,0.6933,0.7094,"[3.21871516 4.55952312 0.31156926 2.12494651 0.61116298 0.27049767
 0.85991084 1.86032673 2.1819782 ]",0.592
27,0.693,0.6763,"[3.22544017 4.55751647 0.3095701  2.12294514 0.61316316 0.27250357
 0.86190979 1.86232698 2.18397854]",0.5888
28,0.6933,0.7196,"[3.23227839 4.5607413  0.31334166 2.12668404 0.60936879 0.26957071
 0.85844548 1.85852213 2.18009783]",0.5831
29,0.6931,0.694,"[3.23552709 4.56225998 0.31520339 2.12852715 0.60749237 0.26828384
 0.85677664 1.85663944 2.17816901]",0.5804
30,0.6933,0.719,"[3.24094568 4.55994538 0.31311214 2.12642337 0.6095741  0.27075814
 0.85899341 1.85871724 2.18021647]",0.5777
31,0.6931,0.6898,"[3.26265381 4.55267347 0.30532156 2.11865468 0.61739021 0.27756756
 0.86648598 1.86654173 2.18811003]",0.5684
32,0.6931,0.6755,"[3.28834862 4.5529124  0.30539422 2.1187301  0.61732877 0.27701731
 0.86631129 1.86648235 2.18807391]",0.5538
33,0.6932,0.6619,"[3.30794498 4.55092333 0.30339592 2.11672992 0.61932851 0.27887825
 0.86830148 1.86848226 2.19007448]",0.5437
34,0.6933,0.7225,"[3.32689528 4.55178453 0.30384225 2.1171786  0.61893678 0.27721567
 0.86755548 1.86809445 2.18980429]",0.5336
35,0.693,0.7033,"[3.34278675 4.55211871 0.30395084 2.11728417 0.61884881 0.27784869
 0.8672981  1.86800713 2.18975026]",0.5248
36,0.6931,0.6872,"[3.35591639 4.55001683 0.3019016  2.11523279 0.62089189 0.27679328
 0.86938386 1.87004967 2.19177841]",0.5199
37,0.6933,0.6835,"[3.365127   4.55005705 0.30188464 2.11521351 0.62090964 0.27773011
 0.86937129 1.87006719 2.19179241]",0.5148
38,0.6932,0.7003,"[3.37295372 4.55837247 0.31026092 2.1235751  0.61256691 0.28540966
 0.86099393 1.86172038 2.18351487]",0.5016
39,0.6932,0.6772,"[3.37313309 4.55425167 0.30621075 2.11952581 0.61660866 0.2813866
 0.86509162 1.86576254 2.18754246]",0.5059
40,0.6933,0.6638,"[3.37595127 4.55242963 0.30426419 2.11757341 0.61856841 0.27999725
 0.8669494  1.86772148 2.18951753]",0.5064
41,0.6932,0.708,"[3.38150807 4.55636349 0.30824886 2.12155675 0.61458158 0.28380373
 0.8629906  1.86373454 2.18552563]",0.4992
42,0.6931,0.7366,"[3.3849262  4.55834258 0.3102487  2.12355461 0.6125826  0.28572186
 0.86099714 1.86173537 2.18352604]",0.4954
43,0.6932,0.6967,"[3.38659491 4.56017984 0.31220112 2.12550996 0.61061989 0.28732016
 0.8591204  1.8597736  2.18154987]",0.4928
44,0.6932,0.724,"[3.38536278 4.55490242 0.30650408 2.11978828 0.61637878 0.28260183
 0.86449729 1.86552736 2.18738884]",0.499
