epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
0,0.687,0.6206,"[ 2.57023494  4.57585507 -0.04922483  1.84963148  0.87212584  0.63016652
  1.12033601  2.22120195  2.44299695  3.33552735  2.68385087  4.35535207]",2.3884
1,0.6933,0.6393,"[ 2.52025323  4.62564713 -0.09892603  1.7996729   0.82221094  0.68013092
  1.07041621  2.27114563  2.39305618  3.2856093   2.73380141  4.40533309]",1.8884
2,0.6933,0.6619,"[ 2.50023175  4.64600492 -0.13395774  1.77962552  0.8020666   0.7001808
  1.05027072  2.29124178  2.37300009  3.26552509  2.75385114  4.42535438]",1.7052
3,0.6933,0.6655,"[ 2.49026048  4.65594812 -0.13842077  1.76968073  0.792174    0.71012097
  1.04038075  2.30114878  2.36306508  3.25560881  2.76379174  4.43532601]",1.6348
4,0.6938,0.6688,"[ 2.49022469  4.65663595 -0.13744158  1.76960173  0.79192166  0.71020636
  1.04012602  2.30131733  2.36297269  3.25546706  2.76387518  4.43536138]",1.6344
5,0.6934,0.6607,"[ 2.49019649  4.65719452 -0.13678413  1.76953944  0.79172087  0.7102737
  1.03992419  2.3014509   2.36290033  3.25535557  2.76394072  4.43538924]",1.6339
6,0.6932,0.7056,"[ 2.48818041  4.65954805 -0.13462913  1.76750381  0.7896019   0.71231227
  1.03780508  2.30352894  2.36085989  3.25329231  2.76597759  4.4374051 ]",1.6225
7,0.6936,0.6439,"[ 2.4861687   4.661838   -0.13254566  1.76547785  0.78751229  0.71434063
  1.03571588  2.30558734  2.35883133  3.25124688  2.76800396  4.43941663]",1.6114
8,0.6937,0.6709,"[ 2.47820831  4.66922757 -0.12555979  1.75756319  0.77976694  0.72224489
  1.0279702   2.31340626  2.35093049  3.2433988   2.77591185  4.44737765]",1.5704
9,0.6936,0.7158,"[ 2.48220142  4.66550718 -0.12953833  1.76154784  0.78370654  0.71826241
  1.03191074  2.30944494  2.35491521  3.24737288  2.77192659  4.44338437]",1.5903
10,0.6936,0.7134,"[ 2.48219287  4.66578558 -0.12947889  1.76152892  0.78363643  0.71828362
  1.03184149  2.30949031  2.35489551  3.24734051  2.77194523  4.44339272]",1.59
11,0.6934,0.6507,"[ 2.47820619  4.66964544 -0.12586898  1.75755746  0.77971769  0.72225099
  1.02792288  2.31343027  2.35092934  3.24339226  2.77591359  4.44737963]",1.5696
12,0.6935,0.6673,"[ 2.4802014   4.66786657 -0.12787473  1.75954673  0.78167364  0.72026301
  1.02987971  2.31145768  2.352919    3.24537464  2.7739235   4.4453843 ]",1.5794
13,0.6931,0.6918,"[ 2.48021065  4.66786115 -0.12816185  1.7595661   0.78172009  0.72024121
  1.02992644  2.31142071  2.35294277  3.24540933  2.77390152  4.44537518]",1.5793
14,0.6933,0.7232,"[ 2.48418097  4.66450959 -0.13175823  1.76350195  0.78551084  0.71631396
  1.0337192   2.30756526  2.35687261  3.24929852  2.76996788  4.44140423]",1.5992
15,0.6932,0.6937,"[ 2.4841453   4.6650427  -0.13143179  1.76342669  0.78529066  0.71639792
  1.03350085  2.3077231   2.35678932  3.24917215  2.77004615  4.44143925]",1.5984
16,0.6934,0.709,"[ 2.48407873  4.66617534 -0.13036362  1.7632845   0.7848568   0.71655741
  1.0330722   2.30802888  2.35662987  3.24892683  2.7701957   4.44150457]",1.5972
17,0.6935,0.748,"[ 2.48407425  4.66637027 -0.13039851  1.76327447  0.78481556  0.71656852
  1.03303234  2.30805429  2.35662019  3.24891037  2.77020494  4.44150893]",1.5969
18,0.6935,0.7144,"[ 2.48610609  4.66449182 -0.13241566  1.76533474  0.78691159  0.71450376
  1.03512886  2.30596237  2.35868985  3.25100002  2.76813987  4.43947748]",1.6077
19,0.6934,0.7129,"[ 2.48409943  4.66671086 -0.13046143  1.76331998  0.78485558  0.7165202
  1.03307443  2.30799807  2.3566748   3.24897509  2.77015417  4.44148399]",1.5968
20,0.6932,0.6987,"[ 2.48011988  4.67046778 -0.12696209  1.75936343  0.78098097  0.72047048
  1.02919808  2.31190579  2.35272516  3.24505214  2.7741067   4.44546395]",1.5763
21,0.6935,0.7127,"[ 2.48211173  4.66879724 -0.12887965  1.76134523  0.78290871  0.71849121
  1.03112812  2.30995172  2.35470646  3.24702067  2.77212457  4.44347189]",1.5862
22,0.6933,0.7012,"[ 2.48210603  4.66902224 -0.12888865  1.76133258  0.78285831  0.71850539
  1.03107948  2.30998339  2.35469387  3.24699952  2.7721366   4.44347744]",1.5858
23,0.6933,0.7058,"[ 2.48409154  4.66745037 -0.13065963  1.76330068  0.78474314  0.71654145
  1.03296759  2.30805909  2.35665939  3.24894368  2.77016914  4.44149161]",1.5958
