epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
0,0.6856,0.8629,"[ 2.57024253  4.47595398 -0.04917972  1.94958184  0.97205991  0.53024734
  1.12031853  2.22120326  2.44297166  3.43546974  2.58389933  4.3553504
  1.24656609  5.46739375  0.12209208  4.26263195  2.5720238   3.46036377]",2.6003
1,0.692,0.7388,"[ 2.52227165  4.42800675 -0.09702558  1.99751078  1.02000392  0.48249094
  1.07233769  2.26917512  2.39498743  3.48343979  2.53593494  4.40332957
  1.1986825   5.41945075  0.07411794  4.3105254   2.52407761  3.41239237]",2.225
2,0.6932,0.7058,"[ 2.50036621  4.40618675 -0.11870676  2.01928087  1.04183513  0.45896668
  1.05040234  2.29108573  2.3730452   3.50533694  2.51404893  4.42525363
  1.17690151  5.39765848  0.05222324  4.33223273  2.50226661  3.39050474]",2.1206
3,0.6935,0.7292,"[ 2.492743    4.39881837 -0.1258566   2.02651117  1.04924463  0.46191389
  1.04268107  2.29872337  2.3653042   3.51292432  2.50649128  4.43292577
  1.16954735  5.39037859  0.04466938  4.33936582  2.49492646  3.3829674 ]",2.1114
4,0.6934,0.7176,"[ 2.49460164  4.40051925 -0.12430286  2.02495525  1.04751078  0.46002316
  1.04458278  2.29685913  2.36721372  3.51108656  2.50831411  4.43104644
  1.1712582   5.39198785  0.04648346  4.33788979  2.49660115  3.38477327]",2.1108
5,0.6932,0.7113,"[ 2.49460471  4.40052429 -0.12427938  2.02495644  1.04750436  0.45911536
  1.04458456  2.29685641  2.36721522  3.51108364  2.50831756  4.43104438
  1.17126829  5.39198746  0.04648574  4.33789091  2.49660442  3.38477584]",2.1095
6,0.6931,0.6898,"[ 2.49453977  4.40036973 -0.12453811  2.02521202  1.04763768  0.45930913
  1.04454069  2.29691847  2.36717496  3.51115925  2.50823414  4.43109914
  1.17112023  5.39177074  0.04639758  4.3382183   2.49643238  3.38468323]",2.109
7,0.6933,0.7212,"[ 2.49640542  4.40204507 -0.12312917  2.02374285  1.04591844  0.45831626
  1.0464511   2.29504618  2.36909309  3.50931462  2.51006182  4.42921095
  1.17279823  5.39332223  0.04821872  4.33693092  2.49807263  3.38649441]",2.1097
8,0.6935,0.6769,"[ 2.49842945  4.40409873 -0.12102376  2.02166676  1.04386922  0.45522768
  1.04846703  2.2930234   2.37110754  3.50728743  2.51209207  4.42719131
  1.1748558   5.39538758  0.05024909  4.33483796  2.50012911  3.3885265 ]",2.1094
9,0.6936,0.7145,"[ 2.49641158  4.40205077 -0.12310724  2.02375509  1.04590831  0.45399731
  1.04645511  2.29504046  2.36909655  3.50930869  2.51006853  4.42920647
  1.1728123   5.3933142   0.04822362  4.3369651   2.4980736   3.38649964]",2.1034
10,0.6935,0.7144,"[ 2.49461457  4.40042384 -0.124587    2.02529668  1.04756422  0.45391873
  1.04459883  2.29684691  2.36722952  3.51108388  2.50831254  4.43103304
  1.17119508  5.39174217  0.04647037  4.33844737  2.496465    3.38475706]",2.1008
11,0.6932,0.7158,"[ 2.49465034  4.40050793 -0.12441991  2.02517283  1.04748932  0.45259668
  1.04462231  2.2968132   2.36725092  3.51104325  2.50835786  4.43100371
  1.17128325  5.39184832  0.04651623  4.33828158  2.49655523  3.38480557]",2.0992
12,0.6936,0.6727,"[ 2.49460739  4.4004044  -0.12458517  2.02534092  1.04757738  0.45195819
  1.04459336  2.29685413  2.36722418  3.51109329  2.50830266  4.4310402
  1.17118649  5.39170376  0.04645734  4.3385003   2.49643934  3.38474379]",2.0978
13,0.6935,0.7326,"[ 2.49088269  4.39692414 -0.12784112  2.02866667  1.05110264  0.45391122
  1.04078967  2.3005902   2.3634068   3.51478487  2.50463659  4.43480186
  1.167701    5.38832111  0.04280339  4.34171839  2.49298937  3.38110311]",2.0959
14,0.693,0.6667,"[ 2.49287869  4.39891025 -0.12585311  2.02670512  1.0491123   0.45142391
  1.04278673  2.2985943   2.36540396  3.51279043  2.50663062  4.43280582
  1.16969421  5.39029142  0.04479515  4.33976731  2.49497115  3.38309471]",2.0952
15,0.6932,0.6947,"[ 2.49089772  4.39695673 -0.12775136  2.02863455  1.05107064  0.45242992
  1.04079904  2.30057641  2.36341516  3.51476876  2.50465491  4.43479032
  1.16774288  5.38835     0.04281983  4.3416715   2.49302055  3.38112081]",2.0938
16,0.6934,0.6844,"[ 2.49493008  4.40102999 -0.12361074  2.02453718  1.04700487  0.44728852
  1.04482024  2.29654611  2.36743454  3.51073244  2.50869539  4.43076382
  1.17182153  5.39243682  0.04686018  4.33754303  2.49709813  3.38516351]",2.093
17,0.6931,0.6795,"[ 2.49690245  4.40295622 -0.12174268  2.02266414  1.04506533  0.44403116
  1.04680204  2.29457225  2.36941769  3.50876494  2.51065927  4.42878719
  1.17375352  5.39432914  0.04882138  4.3357301   2.49901364  3.38712262]",2.0917
18,0.6934,0.6798,"[ 2.4968739   4.40288016 -0.12187865  2.02279205  1.04512761  0.44191717
  1.04678328  2.29459918  2.3694003   3.50879842  2.51062205  4.42881131
  1.17368304  5.39421975  0.04878153  4.33592076  2.49892671  3.38708061]",2.0883
19,0.6931,0.6812,"[ 2.4968355   4.40277844 -0.12206357  2.02295824  1.04521133  0.43879304
  1.04675819  2.29463527  2.36937702  3.50884317  2.51057221  4.42884365
  1.17358764  5.39407684  0.04872845  4.33616997  2.49881132  3.38702463]",2.0834
20,0.6936,0.7147,"[ 2.49483273  4.40076808 -0.12406994  2.02498317  1.04721783  0.43807279
  1.04475617  2.29663807  2.36737501  3.51084704  2.50856807  4.43084646
  1.17158299  5.39205563  0.04672271  4.33820797  2.49679718  3.38501872]",2.0785
21,0.6929,0.6811,"[ 2.49296321  4.39902372 -0.12571464  2.02667249  1.04898606  0.43741284
  1.04284634  2.29851459  2.36545935  3.51270114  2.50672719  4.43273423
  1.1698368   5.39034714  0.04488767  4.33986166  2.49506586  3.38319036]",2.0749
22,0.6932,0.7103,"[ 2.4908948   4.39685377 -0.12798157  2.02894318  1.05112933  0.43929053
  1.04080057  2.30057963  2.36341655  3.51478132  2.50463871  4.4347932
  1.16768493  5.38811348  0.04279039  4.3422099   2.49287609  3.38108899]",2.0738
23,0.6936,0.6683,"[ 2.49292144  4.39892262 -0.12583636  2.02683955  1.04906984  0.4361164
  1.04281762  2.29855476  2.36543227  3.51275082  2.50667292  4.43277122
  1.16975327  5.390201    0.04482596  4.34005881  2.49495037  3.38312653]",2.0726
24,0.6931,0.6976,"[ 2.49291757  4.39890968 -0.12584419  2.02687136  1.04907864  0.43522021
  1.04281479  2.29855868  2.3654295   3.51275609  2.50666727  4.43277507
  1.16974705  5.39017477  0.04481819  4.34010101  2.49493319  3.3831186 ]",2.0712
25,0.6935,0.7121,"[ 2.49486409  4.40076914 -0.12409097  2.02509008  1.04719427  0.42769021
  1.04477994  2.29660876  2.36739695  3.51081814  2.50859818  4.43082039
  1.17161692  5.39198367  0.04674407  4.33842613  2.49677487  3.38504068]",2.0633
26,0.6935,0.7191,"[ 2.49485893  4.40075213 -0.12410668  2.02511964  1.04720575  0.39748288
  1.04477645  2.29661368  2.36739349  3.51082465  2.50859106  4.43082529
  1.17160661  5.39195631  0.04673506  4.33847552  2.49675317  3.38503135]",2.0214
27,0.6936,0.7151,"[ 2.48892041  4.39492121 -0.12981268  2.03090843  1.05307072  0.36848273
  1.03881485  2.30255778  2.36143049  3.51675489  2.50266928  4.43677243
  1.16575678  5.38615157  0.0408206   4.34413729  2.49093692  3.37912074]",1.9735
28,0.6936,0.6688,"[ 2.48898317  4.39510954 -0.12951944  2.0307052   1.05293088  0.33417979
  1.03885295  2.30250186  2.36146849  3.51668404  2.50274902  4.43671675
  1.16590709  5.38634899  0.04091185  4.34378236  2.49114141  3.37921551]",1.9287
