epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
0,0.6294,0.5937,"[ 2.65018743  4.55953211 -0.03126647  1.86761905  0.89012304  0.56782278
  1.13832782  2.13928562  2.46299039  3.35153885  2.66755322  4.33732941]",2.6489
1,0.6341,0.6604,"[ 2.70015184  4.60951474 -0.08125759  1.81762495  0.84012922  0.51785607
  1.08833474  2.0892902   2.41300128  3.30155428  2.71746952  4.38732132]",2.2992
2,0.6327,0.7074,"[ 2.75012447  4.65950316 -0.1312501   1.76763023  0.79013524  0.46787636
  1.03834081  2.03929428  2.36301066  3.25156937  2.76743724  4.43731406]",1.973
3,0.652,0.7366,"[ 2.80009971  4.70949413 -0.18124305  1.71763515  0.74014158  0.41789291
  0.98834646  1.98929819  2.31301957  3.20158441  2.8174159   4.48730663]",1.6819
4,0.6551,0.756,"[ 2.85007111  4.75948608 -0.23123573  1.66763991  0.69014886  0.36790973
  0.93835197  1.93930221  2.26302889  3.15159972  2.86739797  4.53729787]",1.4355
5,0.6627,0.7589,"[ 2.90000224  4.80947786 -0.28122715  1.61764467  0.64015787  0.31793218
  0.88835747  1.88930659  2.21303961  3.10161516  2.91737935  4.5872846 ]",1.2407
6,0.6684,0.7631,"[ 2.86398441  4.85946797 -0.33121565  1.56764952  0.59016924  0.268006
  0.83836303  1.83931183  2.16305365  3.05163063  2.96735558  4.6372464 ]",1.0565
7,0.6697,0.7525,"[ 2.81400304  4.90945158 -0.38119807  1.51765473  0.54018183  0.30159803
  0.78836873  1.78931849  2.11307093  3.00164674  3.01732374  4.60793949]",0.8746
8,0.6729,0.7391,"[ 2.76401528  4.95936645 -0.43116649  1.46766079  0.49019465  0.31498472
  0.73837482  1.73932654  2.06308919  2.95166496  3.06728714  4.55799155]",0.7357
9,0.6828,0.7148,"[ 2.71402564  4.91954739 -0.48109844  1.41766778  0.44020701  0.29734943
  0.68838143  1.68933573  2.01311029  2.90168897  3.11724854  4.50803313]",0.659
10,0.6927,0.6872,"[ 2.66403645  4.86958513 -0.53083659  1.36767581  0.39021882  0.2692352
  0.63838912  1.63934617  1.96313796  2.85172528  3.16721378  4.45810511]",0.6434
11,0.6954,0.6706,"[ 2.61405013  4.81962139 -0.48534968  1.31768583  0.34023186  0.24307048
  0.58839923  1.5893591   1.91317943  2.8017867   3.21718132  4.42822949]",0.6674
12,0.6993,0.6531,"[ 2.56407193  4.76969262 -0.43573078  1.26769996  0.29024986  0.21710953
  0.53841521  1.53937922  1.86323816  2.75191631  3.2671407   4.46314391]",0.7393
13,0.6996,0.6516,"[ 2.51413899  4.76946749 -0.38661366  1.21773184  0.24030069  0.19782006
  0.4884599   1.48945859  1.81337998  2.70596651  3.31704858  4.49358758]",0.8134
14,0.6932,0.6715,"[ 2.54208596  4.81932392 -0.42366902  1.16827331  0.27461157  0.16094883
  0.5121379   1.53114268  1.82270366  2.75440072  3.34095935  4.53237425]",0.7585
15,0.6904,0.6867,"[ 2.59201567  4.86927634 -0.47319002  1.13372146  0.32455301  0.18035067
  0.56203962  1.58109828  1.87245229  2.80356267  3.38993878  4.58213042]",0.7162
16,0.6943,0.7112,"[ 2.6419436   4.91922605 -0.52270887  1.08508267  0.3744813   0.18520392
  0.61192495  1.63104703  1.92219292  2.84025709  3.43963275  4.6319989 ]",0.7106
17,0.6943,0.7116,"[ 2.64214422  4.92543489 -0.57212256  1.0556614   0.42404136  0.14418826
  0.58480932  1.66246728  1.88665017  2.79245908  3.4101121   4.62323761]",0.6556
18,0.6941,0.7048,"[ 2.59233619  4.87561378 -0.55265     1.07972713  0.40300508  0.1032823
  0.53513131  1.61320394  1.83706275  2.74329402  3.3603546   4.57350731]",0.6619
19,0.6955,0.6839,"[ 2.56100475  4.84989858 -0.52082682  1.08829964  0.43973003  0.06527175
  0.49178973  1.61759021  1.78817545  2.69487321  3.31119044  4.53396732]",0.6404
20,0.6942,0.6999,"[ 2.54304857  4.85337644 -0.47243798  1.07720894  0.48917661  0.01842903
  0.45159521  1.65925848  1.7658793   2.64625179  3.26265101  4.57266632]",0.5748
21,0.6933,0.7041,"[ 2.51799991  4.8654878  -0.42295962  1.06669696  0.51689677 -0.02990816
  0.41914289  1.68494831  1.77768723  2.59707277  3.21467364  4.62079401]",0.5157
22,0.6979,0.6959,"[ 2.5138043   4.86586183 -0.37336371  1.03556595  0.54128729 -0.07866371
  0.40323972  1.70305249  1.79450478  2.54786221  3.16651298  4.66505662]",0.4558
23,0.6935,0.7071,"[ 2.50722266  4.86377962 -0.32366116  0.99340925  0.55527061 -0.12781414
  0.39059554  1.71310768  1.79665797  2.49837008  3.11824513  4.71159758]",0.4048
