epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
0,0.672,0.6258,"[ 2.59022319  4.55802971 -0.02733298  1.86958612  0.89013579  0.61019678
  1.14027636  2.20124745  2.46099829  3.35157754  2.66584975  4.33535909]",2.0674
1,0.6718,0.684,"[ 2.5402294   4.60799816 -0.07730466  1.8195989   0.84015346  0.66018491
  1.0902919   2.25123403  2.41111206  3.3016021   2.71582936  4.38535194]",1.6226
2,0.6698,0.716,"[ 2.49023588  4.65797276 -0.1272817   1.76961041  0.79016929  0.71017069
  1.04030637  2.3012202   2.45697379  3.25162544  2.76580601  4.43534434]",1.2164
3,0.6715,0.7288,"[ 2.44024428  4.70794535 -0.17726281  1.71962323  0.74018691  0.76015121
  0.99032244  2.35120427  2.5069446   3.20165713  2.81575237  4.48533422]",0.9498
4,0.6706,0.7299,"[ 2.39025768  4.75790628 -0.22724556  1.66964135  0.69021218  0.81012314
  0.94034221  2.40118581  2.55692313  3.15208548  2.78579169  4.53531713]",0.7652
5,0.6736,0.7198,"[ 2.34028112  4.80570529 -0.2772289   1.61967304  0.64029643  0.86009166
  0.89037094  2.45116403  2.60689994  3.19402712  2.73581807  4.58528744]",0.619
6,0.6769,0.7034,"[ 2.29032473  4.75606597 -0.32721229  1.56977265  0.67209013  0.9100636
  0.84040892  2.50113959  2.65687457  3.24398818  2.68583403  4.63522626]",0.4666
7,0.6777,0.6977,"[ 2.24037943  4.70611234 -0.37719472  1.59789906  0.72205634  0.960041
  0.79045238  2.55110822  2.70684588  3.29395785  2.6358472   4.68516026]",0.3237
8,0.6815,0.687,"[ 2.1904311   4.65614194 -0.4271738   1.64784426  0.77203653  1.01002126
  0.74051931  2.60103217  2.75679947  3.34393052  2.58585921  4.73511693]",0.2235
9,0.6894,0.6983,"[ 2.14047995  4.60616768 -0.47714672  1.69780733  0.82201991  1.06000178
  0.74255695  2.55908728  2.75677928  3.39390467  2.53587132  4.7850862 ]",0.1697
10,0.6932,0.6979,"[ 2.09055598  4.55620602 -0.52711836  1.74776993  0.87199823  1.10998057
  0.74543662  2.50913903  2.7622226   3.44387785  2.4858848   4.83505775]",0.1634
11,0.6943,0.6998,"[ 2.06474705  4.50638617 -0.57708682  1.79772205  0.921955    1.15995125
  0.76935208  2.45917623  2.75415392  3.49384648  2.43590113  4.88502495]",0.2
12,0.6985,0.6924,"[ 2.10844897  4.55122408 -0.62704734  1.84764621  0.97183909  1.20989965
  0.78490439  2.40921687  2.77834949  3.54380365  2.38592281  4.93498946]",0.2254
13,0.6969,0.6982,"[ 2.15060301  4.6008022  -0.6769673   1.89732166  0.9845834   1.24001164
  0.82302129  2.35926268  2.76452738  3.5937328   2.33595521  4.98494581]",0.2756
14,0.6951,0.7016,"[ 2.20032237  4.64590727 -0.72682186  1.93637896  1.00670908  1.19076242
  0.85279216  2.30933534  2.77213633  3.64360253  2.28599344  5.03489014]",0.3159
15,0.695,0.6879,"[ 2.25014746  4.6598136  -0.77662389  1.96233693  1.05359489  1.14238257
  0.84477502  2.25945634  2.81438841  3.69338189  2.23604437  5.08481308]",0.3606
16,0.6955,0.6961,"[ 2.2970576   4.6131963  -0.81964472  1.92264097  1.03055318  1.09280173
  0.8941779   2.2096699   2.79817624  3.74291658  2.18619707  5.13460623]",0.4165
