epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
0,0.66,0.6377,"[2.57023826 4.47599218 0.05070149 1.84963379 0.97198504 0.63013795
 1.12031271 2.22121101 2.44296879 3.33551302 2.58394406 4.35461377]",1.8696
1,0.6609,0.7015,"[2.52024792 4.42605282 0.10068951 1.79964974 1.02189932 0.68010866
 1.07031672 2.27120369 2.39297273 3.28553078 2.53401357 4.30939141]",1.5941
2,0.6584,0.7277,"[2.47025896 4.37616099 0.15067945 1.74966517 1.02789056 0.73007515
 1.02032068 2.32119697 2.34297663 3.23554445 2.53001413 4.25945799]",1.3382
3,0.6626,0.7371,"[2.42027255 4.32628927 0.20066959 1.69968247 0.97793046 0.78002095
 0.9703255  2.37118789 2.29298152 3.18555674 2.57998154 4.20949151]",1.0878
4,0.6614,0.7262,"[2.37029009 4.27635345 0.25065916 1.64970943 0.92795143 0.77202764
 0.92033226 2.42116949 2.24298908 3.13557014 2.62996516 4.15951955]",0.8843
5,0.665,0.7434,"[2.32031409 4.22639395 0.30064797 1.59979381 0.87796839 0.72207053
 0.8703434  2.43124868 2.19300492 3.08558614 2.67995264 4.1095455 ]",0.7036
6,0.6703,0.7175,"[2.27035146 4.17642479 0.35063645 1.59154058 0.82798358 0.67209388
 0.82036787 2.38127703 2.15498023 3.03560418 2.72994178 4.05957144]",0.5246
7,0.6704,0.7147,"[2.22040297 4.12645114 0.40062525 1.58559094 0.77800007 0.6221126
 0.7704247  2.33129365 2.19875521 2.98562262 2.77993083 4.00960293]",0.3968
8,0.6746,0.6961,"[2.17045859 4.07647489 0.45061428 1.58209194 0.72802307 0.57212889
 0.72052547 2.2813087  2.24864923 2.9356419  2.82991783 3.96559287]",0.3074
9,0.685,0.7048,"[2.12053202 4.02650001 0.50060316 1.57308024 0.67805951 0.52214466
 0.67067121 2.23132526 2.27676202 2.88566126 2.87990093 3.98219364]",0.2493
10,0.6887,0.7108,"[2.07064562 3.97654009 0.55059102 1.54523467 0.62812202 0.47216247
 0.63020241 2.18134483 2.26845078 2.83567982 2.92987724 4.03197961]",0.2263
11,0.6924,0.6919,"[2.02081512 3.93452871 0.60057593 1.52230148 0.57831762 0.42218598
 0.66798999 2.1313688  2.22266198 2.78569873 2.97983888 4.07958507]",0.2345
12,0.6937,0.6896,"[2.01208812 3.98419155 0.65055611 1.53975149 0.52902797 0.37221965
 0.71775066 2.08140168 2.17281349 2.73571833 3.02977746 4.12372782]",0.2579
13,0.6974,0.679,"[2.05468468 4.03406054 0.70052796 1.57719677 0.48825037 0.32228253
 0.7674035  2.03145396 2.12290077 2.6857396  3.07967785 4.14550815]",0.3001
14,0.6936,0.6861,"[2.10430086 4.08391208 0.75047967 1.62690062 0.46833002 0.29350163
 0.81662191 1.98157176 2.07296431 2.63576369 3.12937714 4.16203805]",0.3364
15,0.6964,0.6875,"[2.15389027 4.13310639 0.80038434 1.67671006 0.44303474 0.3431829
 0.8419802  1.93180978 2.0230321  2.58579066 3.13959511 4.21158591]",0.3381
16,0.6955,0.6806,"[2.20337589 4.14967056 0.84754643 1.72656865 0.39381901 0.39307492
 0.86945988 1.88214012 1.97311102 2.53581944 3.11277125 4.24749327]",0.3342
17,0.6982,0.6931,"[2.22878411 4.10533068 0.80989979 1.77647462 0.34455359 0.44299378
 0.91190341 1.83248565 1.92319842 2.48584976 3.07903149 4.22160382]",0.2912
18,0.7,0.6985,"[2.2107209  4.06185197 0.7602973  1.82634974 0.29478325 0.49291368
 0.95480223 1.78257884 1.87328995 2.43588349 3.03526249 4.18191423]",0.2471
19,0.6977,0.6816,"[2.1757414  4.03490912 0.71302499 1.83615584 0.24494366 0.54280164
 0.97562088 1.73263954 1.82341205 2.38593532 2.99363199 4.17246933]",0.2124
20,0.6976,0.6795,"[2.13015351 4.05630769 0.69773426 1.7949975  0.19519113 0.58255617
 0.970129   1.68268984 1.77710206 2.3360515  2.9439745  4.21704055]",0.1925
21,0.6941,0.6801,"[2.11346753 4.05703456 0.66520143 1.7785247  0.14602467 0.61490433
 0.98332467 1.634907   1.76112436 2.28674712 2.89512487 4.24518276]",0.1939
22,0.6987,0.6996,"[2.15831962 4.00736532 0.61554271 1.78609915 0.10215938 0.66467221
 1.03257031 1.68480684 1.79948388 2.31973895 2.94416804 4.28241736]",0.2172
23,0.6953,0.7079,"[2.16169843 3.9574586  0.58172834 1.74421184 0.05232033 0.71422634
 1.06218141 1.73456472 1.83520634 2.36935133 2.9940314  4.33227676]",0.288
24,0.6953,0.7085,"[2.12917368 3.965382   0.59853802 1.74086624 0.05982869 0.69826484
 1.03820065 1.71876987 1.81944717 2.41882299 2.98652201 4.32440839]",0.2317
25,0.6992,0.6866,"[2.07989788 4.01514971 0.6447644  1.72230911 0.1095399  0.64846934
 0.98867396 1.66887131 1.80738622 2.46832985 2.93674133 4.28523242]",0.1382
26,0.6938,0.6953,"[2.07336789 4.01680636 0.6426019  1.68318483 0.11484427 0.6465025
 0.97869145 1.66901242 1.85590115 2.51807006 2.93042198 4.31021232]",0.1383
27,0.6952,0.7041,"[2.10897898 3.96693352 0.59327854 1.64115744 0.06519492 0.68201492
 1.0168987  1.71858023 1.9056654  2.56788092 2.98003729 4.36007636]",0.2524
